LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID5121,5121,0,1.0,4.554070558361219,1.878990403405289,0.0,4.489400148391724,127,0.6328990194216654,1,,2293.3980582524273,2267.0,1983.0,2703.0,236220.0,179.60104697530033,0.07417129480743385,1.7634489432404379,-0.014835064656370056,-0.006394862992856694,1.0416171643072984,0.4060307665297349,-0.30043437632804676,2.5653651155792834,1.2584000251680005,4.9542125181336285,0.6442869245104419,0.9585253456221199,4.416368190879852
ID4611,4611,0,1.0,6.903047877795421,1.9898605776675315,0.0,0.14139842987060547,4,0.6952477884407723,1,,2273.304,2265.0,2077.0,2633.0,284163.0,106.59965986752007,0.05560845011137934,2.2468269555922733,0.006300225059118591,0.004376874123532723,1.220015573040316,0.4363955684596454,0.5306902680611241,2.795664441200974,1.518550030371,7.095792092432774,0.37899824994518233,0.7843749999999997,5.758194491419304
ID5124,5124,0,1.0,4.161492932610187,2.0528989146838077,0.0,4.524749755859375,128,0.6374468553022188,1,,2173.6285714285714,2172.0,1929.0,2490.0,228231.0,107.85034655830853,0.03940123284757134,1.5279894936589438,-0.041428029688624766,-0.007896328783405524,1.0896191989959092,0.42606622739264977,-0.4127809407403127,2.557393965872233,1.2765500255310005,5.243443509806804,0.5834646054053964,0.9678899082568811,4.640851524401253
ID4614,4614,0,1.0,6.632972703145644,1.8435945457991296,0.0,0.17674803733825684,5,0.7184063333382796,1,,2275.220588235294,2278.0,2068.0,2480.0,309430.0,96.07764538827502,0.05328908178027403,2.396193071810953,-0.03447425200257761,-0.002400986932481668,1.4717210836297052,0.3869532473345431,0.30786189289670385,3.8033563324959476,1.6214000324280005,6.442525216051023,0.49089407160955484,0.8701298701298701,5.059540054093881
ID5127,5127,0,1.0,4.054253152575728,2.200836813156361,0.0,4.560099363327026,129,0.6812574688269559,1,,2164.5409836065573,2156.0,1943.0,2497.0,264074.0,102.94041825940488,0.045396172464052156,1.8261994680790612,0.01711577939243508,-0.021782230162135076,1.2082425794677818,0.4118707754481651,2.801342566814096,2.933547732667044,1.4580500291610006,5.922513162377678,0.5223603699259048,0.8860294117647058,4.904783268492445
ID4618,4618,0,1.0,6.2018272225120965,1.7514444619588896,0.0,0.2120976448059082,6,0.7210819714015918,1,,2228.93984962406,2232.0,1999.0,2471.0,296449.0,96.05796540713858,0.04532875824304718,2.012407300522131,-0.012382861237506485,0.018886325652835906,1.255342020995989,0.45239836882082324,0.1546368134159728,2.774859742019051,1.6335000326700002,6.298180808393694,0.5174861884299031,0.8598726114649682,4.927828108764535
ID4621,4621,0,1.0,5.935551529943753,1.8193137436833333,0.0,0.24744725227355957,7,0.7237477179102267,1,,2196.043795620438,2195.0,1977.0,2493.0,300858.0,91.72905022987848,0.04010582875474002,1.8462651021056264,-7.852946368255663E-4,0.002404995227846873,1.2464763011048317,0.4218426988906933,0.16353076835902303,2.9548367303325427,1.6456000329120006,6.933938229119057,0.43010472591411464,0.8580441640378552,5.405275381217571
