tif_name,frame,bug_xy,innerback_xy,innerback_radius,innerback_radius_max,ellipse_center,ellipse_width,ellipse_height,ellipse_major,ellipse_minor,ellipse_angle,ellipse_angle_adjust,ellipse_center_intensity,ellipse_mean_intensity,area_ratio,z_sign,z_center,center,center_left,center_right,trackmate_ellipse_center,trackmate_ellipse_major,trackmate_ellipse_minor,trackmate_ellipse_angle,trackmate_z
I15_entry_0019.nd2 - C=0-2_pair91_1_187,0,[10.1381384   8.39023058],[6.780077   7.03267316],3.63095781063388,3.9910496837958234,"(92.23113250732422, 76.06562805175781)",3.9727752208709717,11.503003120422363,11.503003120422363,3.9727752208709717,18.78667449951172,1.8986856523118338,39750.0,,[0.73833042],1,0.001096310057683958,[1.01454246e+01 8.36721909e+00 1.09631006e-03],[10.26319     8.09964714  0.        ],[10.05645241  8.68279434  0.        ],[10.1381384   8.39023058],1.9431578601898192,0.9584189899858122,2.039383507024258,1.7593500282192653
I15_entry_0019.nd2 - C=0-2_pair91_1_187,1,[9.91432302 9.10708342],[6.78547516 7.0301967 ],3.651847592075477,3.9910496837958234,"(90.86804962158203, 83.36445617675781)",3.978569269180298,5.894697189331055,5.894697189331055,3.978569269180298,145.99722290039062,4.1189285651747785,43728.0,37044.61666666667,0.8414985902264843,1,0.003596629780385996,[9.99548546e+00 9.17009018e+00 3.59662978e-03],[nan nan  0.],[nan nan  0.],[9.91432302 9.10708342],0.8599125897381124,0.6626222975914344,1.0564762040841094,0.9852458368453947
I15_entry_0019.nd2 - C=0-2_pair91_1_187,2,[9.1136913  9.75457065],[6.71278271 7.01117296],3.632548591788243,3.9910496837958234,"(82.02460479736328, 89.39895629882812)",3.8287928104400635,6.6835036277771,6.6835036277771,3.8287928104400635,53.24729537963867,2.5001369489515555,26296.0,30843.8,0.7960934439527869,-1,-0.1025234882042163,[ 9.02270653  9.83388519 -0.10252349],[nan nan  0.],[nan nan  0.],[9.1136913  9.75457065],1.8408525309960784,0.7348244277747604,2.2959896897783545,-1.4718749372734443
I15_entry_0019.nd2 - C=0-2_pair91_1_187,3,[8.52186195 9.80403914],[6.72408762 6.92214835],3.608613242674987,3.9910496837958234,"(76.05648040771484, 91.26758575439453)",7.098544120788574,14.611661911010742,14.611661911010742,7.098544120788574,74.11985778808594,2.8644318863069578,27006.0,30502.056603773584,0.8470134535874826,-1,-1.6794455891446987,[ 8.36621284 10.03943443 -1.67944559],[ 8.78137238  9.96888512 -0.6032345 ],[ 8.01349983 10.17570076 -0.78715939],[8.52186195 9.80403914],1.75791820342118,1.1241795816543412,-0.3223655243725578,-2.1845005218910205
I15_entry_0019.nd2 - C=0-2_pair91_1_187,4,[7.94107851 9.98794128],[6.71139268 6.93606203],3.5957825771885554,3.9910496837958234,"(72.55681610107422, 91.91462707519531)",7.772154331207275,15.357359886169434,15.357359886169434,7.772154331207275,162.5229034423828,4.407356101765303,23559.0,28993.37254901961,0.8373784843450195,-1,-2.0173768163639103,[ 7.98124977 10.11060898 -2.01737682],[ 8.14359779 10.51054985 -0.85447826],[ 7.88084557  9.7571096  -0.96823025],[7.94107851 9.98794128],1.3905595144291452,1.1627369963212826,1.1832086715390235,-2.445670211287392
I15_entry_0019.nd2 - C=0-2_pair91_1_187,5,[7.23222358 9.71585857],[6.71466359 6.96842961],3.588545167817277,3.9910496837958234,"(65.52040100097656, 87.34284210205078)",9.53207015991211,20.46982192993164,20.46982192993164,9.53207015991211,109.7640151977539,3.486539792204797,29518.0,31365.772151898735,0.8189408774929727,-1,-2.922160221423045,[ 7.20724411  9.60771263 -2.92216022],[ 7.80093796  9.79202003 -1.61970369],[ 6.76963089  9.4547464  -1.75584507],[7.23222358 9.71585857],2.113203962769103,1.750656229350425,1.4370464411536503,-2.9322909527099523
I15_entry_0019.nd2 - C=0-2_pair91_1_187,6,[6.5103301  9.29300339],[6.71280568 6.97110481],3.572139996643349,3.9910496837958234,"(58.87364959716797, 83.4630126953125)",9.739891052246094,21.32577896118164,21.32577896118164,9.739891052246094,151.35018920898438,4.212355452008066,29509.0,31443.408536585364,0.833662035664135,-1,-3.031128948285396,[ 6.47610146  9.1809314  -3.03112895],[ 6.77273396  9.78344139 -2.09400311],[ 6.23847839  8.72038696 -2.10741317],[6.5103301  9.29300339],2.759160905241036,1.175621946488489,1.1592393366526186,-3.2797191709575997
I15_entry_0019.nd2 - C=0-2_pair91_1_187,7,[5.51136558 8.45657849],[6.66686919 7.14480184],3.6966604300483215,3.9910496837958234,"(50.57769775390625, 77.2120132446289)",9.687037467956543,20.905818939208984,20.905818939208984,9.687037467956543,145.82815551757812,4.11597778268697,29491.0,31589.28387096774,0.8299002311890676,-1,-3.0033725757681395,[ 5.56354675  8.49332146 -3.00337258],[ 5.90423313  8.94588646 -1.73619228],[ 5.2732534   8.04948029 -2.23572128],[5.51136558 8.45657849],1.91075470428974,1.346006522773603,1.0558970581117573,-3.575556707151768
I15_entry_0019.nd2 - C=0-2_pair91_1_187,8,[4.83835402 7.63932412],[6.62474506 7.1789373 ],3.707324520989776,3.9910496837958234,"(44.57274627685547, 69.8551254272461)",8.53138256072998,22.206687927246094,22.206687927246094,8.53138256072998,146.6995391845703,4.131186296724086,29981.0,31853.23870967742,0.883756589837122,-1,-2.403781336890013,[ 4.90300209  7.6840638  -2.40378134],[ 5.27058254  8.20405197 -1.95877499],[ 4.59778927  7.25256355 -1.83852225],[4.83835402 7.63932412],2.02288768183682,1.2897813202034885,0.90741960981949,-3.5045016936085576
I15_entry_0019.nd2 - C=0-2_pair91_1_187,9,[4.45465084 6.34280959],[6.58300889 7.22112659],3.6984833052258783,3.9910496837958234,"(40.22038650512695, 56.40476608276367)",10.189933776855469,25.255704879760742,25.255704879760742,10.189933776855469,170.58383178710938,4.548045842148118,26384.0,30209.805263157894,0.8039566434049389,-1,-3.1749847131816056,[ 4.42424252  6.20452427 -3.17498471],[ 4.56271645  6.89399227 -2.40078298],[ 4.37881943  5.65595013 -2.65673243],[4.45465084 6.34280959],2.31725634647197,1.1177745735525508,1.3534162145560569,-3.238011164158642
