LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID12546,12546,0,1.0,5.127183595575629,8.152299659582063,0.0,0.6129347309470177,29,0.7800928486898647,1,,31978.398734177215,31960.0,29950.0,34257.0,5052587.0,1036.2071697286763,-0.9778893661586422,-2729.7862822985267,0.03640611065393829,0.05788388241607568,1.0366553928891196,0.6536301199170546,0.8903222039836027,1.5859969748956348,1.911800038236001,5.26939209757644,0.8652294603258263,0.9875000000000004,3.81100293134903
ID13315,13315,0,1.0,4.188577039936459,9.45035097169651,0.0,3.6987440660595894,175,0.8115509834108889,1,,32323.97076023392,32110.0,28924.0,36728.0,5527399.0,1907.6704531872203,-0.9769272339091072,-1434.874445506752,-0.03506690952204149,0.027432451468395846,1.035086163748134,0.6660935243137339,-1.2698182814157994,1.5539652105379158,2.0691000413819998,6.587683026509442,0.5991367572311959,0.8614609571788416,4.579751881576139
ID12805,12805,0,1.0,8.18964427665301,4.706722893509181,0.0,1.6274473890662193,77,0.5854809333249741,1,,32773.22471910113,32714.0,29387.0,36303.0,2916817.0,1855.4728125247175,-0.9743168068659017,-1340.1263695852147,0.014604083174520477,-0.005647498762131913,0.9512071010793569,0.3872207422863148,0.4845163460561744,2.456498315309837,1.0769000215380007,5.133756209595864,0.513469636735375,0.8640776699029129,4.947064222021267
ID13062,13062,0,1.0,9.058220429565214,6.560226054302808,0.0,2.578553006052971,122,0.47669847103954194,1,,35692.59322033898,35825.0,33778.0,36846.0,2105863.0,701.439262213011,-0.9741102354937,-3829.1116821406745,-8.554909625120996E-4,0.008146137623940371,0.6812005024029673,0.363698868771874,-1.4795349018550281,1.8729794368160175,0.7139000142780008,3.8064409832792725,0.6191687846272775,0.8872180451127825,4.505058194275824
ID12807,12807,0,1.0,8.967650692086142,5.1839157144897605,0.0,1.6485830694437027,78,0.5654012956192739,1,,34446.4,34598.0,29763.0,37847.0,2927944.0,1879.9976139802486,-0.9725185332866076,-1296.8045233465557,0.0026260365516735467,0.0013880306814041809,0.9354349891553946,0.3679885552151266,0.7358727060269273,2.542021962092104,1.0043000200860004,4.790994558322969,0.5498218315957601,0.8829787234042551,4.780726973183222
ID12552,12552,0,1.0,4.616104862025074,7.499475995674647,0.0,0.634070411324501,30,0.8244989521062975,1,,31719.12429378531,31722.0,29476.0,34093.0,5614285.0,1191.2471579321643,-0.9780893306951843,-2377.2353750410757,0.007765694192245282,-1.4816969095637404E-4,1.0606678489406094,0.6522132936606754,1.548887649510328,1.6262591689712464,2.135650042713,5.870397832011894,0.7787622383259779,0.9671232876712326,4.017006085503725
ID12811,12811,0,1.0,9.621740836958173,5.899259318251867,0.0,1.669718749821186,79,0.5887609642180243,1,,35014.24444444444,35401.0,29716.0,37605.0,3151282.0,1728.7286184374755,-0.9730241449136666,-1461.1551414072812,0.008289057857595239,0.02206788478009894,0.9732515236343742,0.39512925940963134,0.9955525428665052,2.46312187836589,1.0890000217800007,4.796596078988561,0.594800679881707,0.9137055837563453,4.596414689016691
