LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID14848,14848,0,1.0,5.299771294827777,7.989918380552776,0.0,1.3104121834039688,62,0.8864063056919167,1,,30101.99019607843,30245.0,27082.0,33176.0,6140806.0,1545.8449791006858,-0.9781879634464747,-1746.567456005961,-0.02142505523454238,-0.018742516486397413,1.3041435840155768,0.6457568284526718,0.518624042544567,2.0195583330345825,2.4684000493680007,6.410192082686879,0.7548893938109023,0.9510489510489509,4.080029190190828
ID15106,15106,0,0.9900000095367432,3.021597968360309,5.6973196446020715,0.0,2.240382120013237,106,0.6112285340900909,1,,31877.84693877551,32718.0,25383.0,34249.0,3124029.0,2212.672980491871,-0.9753209189371462,-1138.7287844787797,0.07330684289215585,-0.05299184334472796,1.262399526021716,0.3677947784345423,-1.1733315156367774,3.4323476026356627,1.173700023474,6.31071645304914,0.37034769214918123,0.7791164658634541,5.825056077975874
ID14595,14595,0,1.0,7.489858565464617,5.662232761024843,0.0,0.0,0,0.6389556073661263,1,,34036.79245283019,33762.0,31193.0,38450.0,3607900.0,1869.1521771316084,-0.9745337818246412,-1393.6907065673133,-0.0017038241102616779,0.005150440115599436,0.9323043287102699,0.46373851206798156,2.17797694777523,2.0104095399641926,1.282600025652001,4.8113187089080665,0.6962622608231588,0.909871244635193,4.248332540477955
ID14852,14852,0,1.0,4.233868355095885,7.712335468069855,0.0,1.3315478637814522,63,0.7899057230938937,1,,29681.024691358023,29749.0,26347.0,32896.0,4808326.0,1684.0704826968783,-0.9779737018304692,-1565.071866088917,0.0024939891016353827,0.00275557593368354,1.2115561717330072,0.5334209053440678,0.927554405577814,2.271294881012449,1.9602000392039995,5.844822660817308,0.7210536510552825,0.9473684210526314,4.174660299967256
ID14599,14599,0,1.0,7.978086499533941,6.199321049647528,0.0,0.021135680377483368,1,0.7562771518619656,1,,33318.72297297297,33156.0,30056.0,37007.0,4931171.0,1450.1258205835363,-0.9750109663895956,-1792.9686539010952,0.009749371200015792,-0.005940893593732413,1.1238628224098952,0.5488957401641746,-1.5625306479096435,2.047497803633433,1.7968500359369997,6.620230060916433,0.5151996185078715,0.8027027027027027,4.938751398033109
ID14855,14855,0,1.0,3.5527778133055574,7.08722229309445,0.0,1.3526835441589355,64,0.7130249367173925,1,,29185.833333333332,29344.0,25767.0,32321.0,3852530.0,1729.8581690379353,-0.9780848339741068,-1505.994398938434,0.014288020928850766,0.0020047990879939756,1.2623146937160126,0.4393171112157288,1.424065193144664,2.873356537883968,1.5972000319440007,5.710390898589732,0.6155133790781492,0.9230769230769226,4.518415692166986
ID15111,15111,0,1.0,3.306762996030596,5.109296347389262,0.0,2.2615178003907204,107,0.6582547692449116,1,,31918.017699115044,31767.0,26384.0,35667.0,3606736.0,2065.188835979745,-0.9746516629670753,-1188.5189030430179,-0.008870898400719225,0.010395571737108922,0.8979965640144713,0.5434024076200036,-0.9256139879815022,1.6525443233634551,1.361250027225,5.381226658626353,0.5907247884240971,0.842696629213483,4.612244634382427
