NAME,ASSOCIATION,EXPERIMENT,IMAGE,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.width.mean,ZSCORE,
b6,0,WT_swarmer,agar_4,(x=0.31 y=23.29),1,1,0.15709986,1.0086832,0.15935102,3.282791,
b7,0,WT_swarmer,agar_4,(x=0.99 y=32.99),1,1,0.33837536,1.4061463,0.25367242,3.3661497,
b8,0,WT_swarmer,agar_4,(x=1.30 y=23.13),1,1,0.25378686,1.1202208,0.24335015,3.708602,
b9,0,WT_swarmer,agar_4,(x=1.52 y=60.60),1,1,0.49549443,1.6712419,0.31470263,4.2208896,
b10,0,WT_swarmer,agar_4,(x=2.57 y=36.47),1,1,0.8096661,2.0549858,0.4261499,4.064387,
b11,0,WT_swarmer,agar_4,(x=2.19 y=37.80),1,1,0.39878303,1.5444187,0.27268082,3.9222567,
b12,0,WT_swarmer,agar_4,(x=2.61 y=54.55),1,1,0.5679733,1.8980862,0.31537527,3.9108033,
b13,0,WT_swarmer,agar_4,(x=3.50 y=21.37),1,1,0.2658721,1.3393264,0.20271079,3.4538481,
b14,0,WT_swarmer,agar_4,(x=4.16 y=38.58),1,1,0.6646374,1.8410442,0.3937374,4.13141,
b15,0,WT_swarmer,agar_4,(x=4.71 y=57.70),1,1,0.7251374,2.2082727,0.3527414,3.9647822,
b16,0,WT_swarmer,agar_4,(x=4.04 y=30.73),1,1,0.29002187,1.3544322,0.22782037,3.2450898,
b17,0,WT_swarmer,agar_4,(x=4.65 y=58.92),1,1,0.6404729,1.9941866,0.3473812,4.2489886,
b18,0,WT_swarmer,agar_4,(x=5.69 y=27.06),1,1,0.18124595,1.1641682,0.15993232,3.0076866,
b19,0,WT_swarmer,agar_4,(x=6.21 y=36.89),1,1,0.31418642,1.3077347,0.25603774,3.3833714,
b20,0,WT_swarmer,agar_4,(x=7.14 y=47.38),1,1,0.45918557,1.5791204,0.30709746,3.7885096,
b21,0,WT_swarmer,agar_4,(x=7.33 y=35.76),1,1,0.48337373,1.5376257,0.34400386,3.4797795,
b22,0,WT_swarmer,agar_4,(x=7.49 y=39.66),1,1,0.54381466,1.6608893,0.3578478,3.4815788,
b23,0,WT_swarmer,agar_4,(x=8.15 y=15.92),1,1,0.22962822,1.2234143,0.19106993,3.2200158,
b24,0,WT_swarmer,agar_4,(x=8.78 y=15.42),1,1,0.20541641,1.119663,0.18846136,3.5190785,
b25,0,WT_swarmer,agar_4,(x=8.62 y=40.06),1,1,0.3625628,1.3516122,0.2853693,3.8646455,
b26,0,WT_swarmer,agar_4,(x=9.41 y=44.66),1,1,0.5196501,1.8546349,0.29258233,3.9489777,
b27,0,WT_swarmer,agar_4,(x=10.48 y=29.89),1,1,0.31418642,1.3695072,0.24408966,3.1695554,
b28,0,WT_swarmer,agar_4,(x=10.59 y=43.62),1,1,0.41064376,1.6101894,0.26946872,3.4409542,
b29,0,WT_swarmer,agar_4,(x=10.40 y=52.44),1,1,0.6767729,2.1689687,0.3342156,3.760849,
b30,0,WT_swarmer,agar_4,(x=10.76 y=64.91),1,1,0.4590674,1.5524533,0.32573456,3.9564512,
b31,0,WT_swarmer,agar_4,(x=11.07 y=57.72),1,1,1.0755057,2.338018,0.5051312,4.103205,
b32,0,WT_swarmer,agar_4,(x=11.07 y=44.19),1,1,0.19338731,1.0033312,0.19717221,3.7561977,
b33,0,WT_swarmer,agar_4,(x=11.08 y=26.17),1,1,0.5437792,1.8648047,0.30452096,3.519813,
b35,0,WT_swarmer,agar_4,(x=11.25 y=39.09),1,1,0.47121465,1.5090828,0.34174785,3.9373324,
b36,0,WT_swarmer,agar_4,(x=11.50 y=72.20),1,1,0.5680383,1.6722723,0.371207,4.3322253,
b37,0,WT_swarmer,agar_4,(x=12.03 y=63.51),1,1,0.49543828,1.5070068,0.35976765,4.239949,
b38,0,WT_swarmer,agar_4,(x=12.76 y=64.57),1,1,0.65264374,2.1682444,0.32238874,3.7589426,
b39,0,WT_swarmer,agar_4,(x=13.36 y=43.72),1,1,0.47135645,1.7545214,0.28347903,3.4091644,
b40,0,WT_swarmer,agar_4,(x=14.94 y=68.17),1,1,0.7610238,2.4081435,0.33668745,3.8422697,
b41,0,WT_swarmer,agar_4,(x=15.03 y=42.87),1,1,0.5559383,1.9712847,0.2955167,4.0307045,
b42,0,WT_swarmer,agar_4,(x=15.60 y=48.61),1,1,0.62837285,1.88592,0.3611062,4.3831773,
b43,0,WT_swarmer,agar_4,(x=15.51 y=42.20),1,1,0.3142928,1.1979483,0.27851176,4.0975842,
b44,0,WT_swarmer,agar_4,(x=15.61 y=45.42),1,1,0.6403547,1.9606874,0.35179973,3.9374204,
b45,0,WT_swarmer,agar_4,(x=17.16 y=59.61),1,1,0.45942187,1.9080324,0.2536549,3.7015624,
b46,0,WT_swarmer,agar_4,(x=16.57 y=69.26),1,1,0.3023582,1.3337138,0.24099909,3.6646008,
b47,0,WT_swarmer,agar_4,(x=16.62 y=67.77),1,1,0.4107383,1.4373854,0.30133495,3.8318772,
b49,0,WT_swarmer,agar_4,(x=17.94 y=49.69),1,1,0.5073965,1.853468,0.28595904,4.0559096,
b50,0,WT_swarmer,agar_4,(x=17.70 y=33.88),1,1,0.47135645,1.4285278,0.36431316,3.5638359,
b51,0,WT_swarmer,agar_4,(x=17.96 y=25.83),1,1,0.3142219,1.5808383,0.20989044,3.4279273,
b52,0,WT_swarmer,agar_4,(x=18.36 y=52.18),1,1,0.36266914,1.623579,0.23421559,3.3337445,
b53,0,WT_swarmer,agar_4,(x=18.49 y=58.92),1,1,0.53178555,1.7027057,0.33895543,4.0641556,
b54,0,WT_swarmer,agar_4,(x=18.13 y=34.96),1,1,0.289951,1.3110825,0.23573864,3.7123556,
b55,0,WT_swarmer,agar_4,(x=18.80 y=66.23),1,1,0.51973283,1.8155644,0.30064696,3.996403,
b56,0,WT_swarmer,agar_4,(x=18.44 y=4.92),1,1,0.15711094,0.96574146,0.16643634,3.3025641,
b57,0,WT_swarmer,agar_4,(x=18.61 y=26.95),1,1,0.31424552,1.2589111,0.26828617,3.7620966,
b58,0,WT_swarmer,agar_4,(x=18.61 y=14.63),1,1,0.48343283,1.4299835,0.3732734,3.4003499,
b59,0,WT_swarmer,agar_4,(x=19.41 y=30.95),1,1,0.44708556,1.630676,0.28760853,3.8048642,
b60,0,WT_swarmer,agar_4,(x=19.57 y=54.93),1,1,0.53192735,1.8503563,0.30007955,4.1832566,
b61,0,WT_swarmer,agar_4,(x=19.95 y=13.92),1,1,0.2295337,1.2430366,0.18648838,2.9790168,
b62,0,WT_swarmer,agar_4,(x=19.98 y=52.57),1,1,0.531691,1.6365591,0.3550968,4.1931496,
