LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID15361,15361,0,1.0,6.029345124583191,6.865144528463953,0.0,0.4438492879271507,21,3.539917647132174,1,,32005.039076923076,32133.0,26251.0,34870.0,1.04016377E8,853.924947495286,-0.9766513328846674,-3135.4949774186166,-0.003422060859434549,0.010943670193583591,3.5781817085655643,3.5167154166059844,2.5902797883286572,1.0174783241400016,39.367350787347,23.012225539534104,0.9341762254979523,0.9871055825242719,3.667672312709035
ID15874,15874,0,1.0,6.099334753637961,7.178755798515644,0.0,2.6630957275629044,126,3.570791968369134,1,,31952.182669082125,32106.0,26669.0,34916.0,1.05825629E8,911.8711882023212,-0.9766613173003573,-2932.680014288841,0.0015537681131507293,0.002254991081130629,3.5973815737977244,3.5636556954197864,-0.4691855877050687,1.0094638431039464,40.057050801141,23.16184879289338,0.9383014577816785,0.9865891819400986,3.6596009905967546
ID15364,15364,0,1.0,5.9925814885702895,6.898150858979972,0.0,0.4649849683046341,22,3.5431802447345127,1,,31975.9610309911,32126.0,25411.0,34858.0,1.04209657E8,833.0757683086657,-0.9766532483291558,-3211.3159343333887,-0.011142028462292694,0.008692854664843068,3.5852441925966367,3.5310142227031682,-0.5935681189251617,1.0153581850633138,39.43995078879902,22.986274164022866,0.9380134456785036,0.9847432024169188,3.6601627781107533
ID15621,15621,0,1.0,6.233530892334283,7.107639857677403,0.0,1.5006333068013191,71,3.5374687242191185,1,,31981.13832409119,32072.0,27616.0,34520.0,1.03810775E8,823.9549007981574,-0.9766262199180404,-3243.544782638599,0.0037996552076635095,-0.0019808817259748313,3.574977454797766,3.52271233748934,-0.3684448525117072,1.0148366123319839,39.312900786258,22.947051681471695,0.9381907934091581,0.9893422655298413,3.6598168185009863
ID15878,15878,0,1.0,6.174394387532914,7.0901376758317785,0.0,2.6842314079403877,127,3.475961940016705,1,,32072.973214285714,32115.0,28299.0,35304.0,1.00580844E8,645.7737669911704,-0.9765293764256195,-4132.848663769322,0.0033625777110851645,-0.05889900823779672,3.4818044277445135,3.3227968067272147,0.2905649048149012,1.0478535493640109,37.957700759154,27.174667459784665,0.6459237972289422,0.9414765906362544,4.410768754594302
ID15368,15368,0,1.0,6.068992570053223,6.795422218837049,0.0,0.48612064868211746,23,3.4637519130341725,1,,32061.736030828517,32123.0,28632.0,34058.0,9.9840246E7,538.0161960816555,-0.9765015410963924,-4952.850650589899,-0.04890661553655909,0.01922088929861605,3.5827756834368922,3.4216736638763443,0.48072059944751233,1.0470828125023586,37.691500753830006,23.87751509188843,0.8307589668283762,0.9537660747091243,3.8892639063307226
ID15882,15882,0,1.0,6.152541469392912,7.117364460407595,0.0,2.705367088317871,128,3.5216459267695623,1,,32013.571872089415,32103.0,28520.0,34351.0,1.03115715E8,542.3710301550336,-0.9765868116566635,-4923.998821118952,0.024122913295215254,-0.05134618781431245,3.568243060086706,3.3931632349762335,0.20339280928657047,1.0515978197882658,38.96200077924001,25.3020229274368,0.7647872249538681,0.96551724137931,4.0535414619155254
