LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_3307,0,0,4,0,0,0,0,0,0.12027599662542343,0.0,0.12027599662542343,0.4708946036968831,7.994810690944417,0.4249469253995906,0.0,26.20808921303491,39.300868795854406,2.4348137837197577,36.88858505953058,20.623560475453626,0.8525000065565109,3.1522040497457833,1.576029378295524,0.14938582536712985,3.915117038384593,0.14938582536712985,35.521628514357744
Track_3308,1,1,8,0,0,0,0,0,0.280643992125988,0.0,0.280643992125988,1.5769044305901678,9.44036315950251,0.5066128143350465,0.0,28.748062312057435,77.56152942878872,0.946091417573518,1.6306815202584786,35.617859664374926,0.9399999976158142,8.067970973142458,3.109596750613224,0.19545241744665906,5.618878275798815,0.19545241744665903,37.606173164630036
Track_3309,2,2,33,0,0,0,0,0,1.2829439640045166,0.0,1.2829439640045166,1.3277680152973472,12.38466419199239,0.49707405920464665,0.0,8.896723655813972,53.99759392224059,0.20160662201353263,2.2654078576505876,14.661398138358722,0.935757577419281,11.413997913642735,2.164871474790798,0.11632804082698443,1.0349384326599262,0.11632804082698447,38.74073063895973
Track_3310,3,3,86,0,0,0,0,0,3.4078199043869972,0.0,3.4078199043869972,12.119458520371357,18.64906465005567,0.7395801683915585,0.0,7.337892552444853,69.01158412101336,0.0,1.2844296469712437,17.50241431559342,0.9813953492530557,25.00621629647467,12.119458520371357,0.4846578297445158,3.5563670793663666,0.48465782974451566,46.14835546439107
Track_3311,4,4,26,0,0,0,0,0,1.0022999718785286,0.0,1.0022999718785286,1.6548768969823513,20.484181659521333,0.39332139818449163,0.0,5.296904931081305,43.17934763223687,0.0,2.1387599888284248,10.020755961920555,0.780769231227728,5.309087663466032,1.7698197630453647,0.3117064553991498,1.6510794606536319,0.3117064553991499,44.82284662837032
Track_3312,5,5,4,0,0,0,0,0,0.12027599662542343,0.0,0.12027599662542343,0.9480371037951859,22.48639970570896,0.03389434930660065,0.0,9.114886189711376,24.989605861156672,0.5343970047507197,1.8206557032267332,13.762945137036642,0.7550000101327896,1.0963020205948437,0.9480371037951859,0.8647590590782542,7.88218040502018,0.8647590590782539,38.48902671825291
Track_3313,6,6,65,0,0,0,0,0,2.565887928009033,0.0,2.565887928009033,1.346332079235228,25.945755814079032,0.620821712460056,0.0,2.2184296786070417,25.793952989784106,0.03802996533838976,0.8686938515984729,4.6524448616200536,1.0,5.6922419314747685,1.346332079235228,0.2365205301255379,0.5247041636303642,0.23652053012553792,36.96058625031024
