LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID127108 ? ID127126,3,127108,127126,0.011304039223528562,34.63912385285158,3.6417100401846114,0.10632045533917056,0.6568920146673918,10.45058209558476,11.979078264687224,0.0,
ID126655 ? ID126679,3,126655,126679,0.008006474812219975,91.03049172802511,3.064849875390818,0.08947890707993686,0.13137840293347836,9.519787526828868,10.48936348856705,0.0,
ID127035 ? ID127063,3,127035,127063,0.025145066755989064,80.44284795449087,5.4314393212598535,0.1585719608127145,0.5693064127117395,10.187699954791182,12.056057001421078,0.0,
ID127239 ? ID127260,3,127239,127260,0.6404965338007149,25.269278957478964,27.412391611882565,0.8003102734569355,0.8028680179268122,10.606102454985296,9.9378299360643,0.0,
ID127260 ? ID127283,3,127260,127283,0.5788948999549035,0.2676404251028259,26.060839245689028,0.7608514309343865,0.8320632185786963,10.951744870084138,9.237952451588058,0.0,
ID126920 ? ID126944,3,126920,126944,0.007528264013145559,92.88489618139731,2.971912072754389,0.08676556928382109,0.42333040945231915,10.249656729605848,12.137016545184661,0.0,
ID127213 ? ID127239,3,127213,127239,1.3049461685523756,88.90528245591568,39.127746298888326,1.1423424042520594,0.7736728172749281,10.589675977420503,10.845767441007652,0.0,
ID126848 ? ID126873,3,126848,126873,0.11290553526566716,48.92769415374896,11.509226913367716,0.3360141890838349,0.3357448074966669,10.448236215593372,11.858351970435269,0.0,
ID126630 ? ID126655,3,126630,126655,0.07352710430099665,43.51813244608519,9.28778742507428,0.27115881748708937,0.10218320228159428,9.617255396490368,10.501404404272462,0.0,
ID126873 ? ID126898,3,126873,126898,0.0010185828228087132,27.07338149714449,1.09316749504375,0.03191524436391978,0.364940008148551,10.274679476269185,11.90452041061329,0.0,
ID127063 ? ID127085,3,127063,127085,4.8425813443331837E-4,42.80132204436716,0.7537494320398116,0.022005865909645962,0.5985016133636236,10.243149720553587,11.993739355235718,0.0,
ID126965 ? ID126985,3,126965,126985,0.010883619912884347,68.93923297567189,3.5733472240654085,0.10432458920544257,0.4817208107560873,10.252663296971088,12.05408692609642,0.0,
ID126791 ? ID126816,3,126791,126816,0.03362623379444402,6.355466024762352,6.2809834590109705,0.1833745723769902,0.27735440619289875,10.519940339648514,11.35091772219733,0.0,
ID126702 ? ID126734,3,126702,126734,0.10044639721483455,11.55253927540099,10.855647126162399,0.31693279605436,0.1897688042372465,9.841751907004156,10.536838313584742,0.0,
ID127126 ? ID127155,3,127126,127155,0.16339343859999567,0.19239083353837597,13.845410668533118,0.40421954257556086,0.6860872153192759,10.61585169586753,11.784531631158401,0.0,
ID126602 ? ID126630,3,126602,126630,0.04897259507042275,59.57505147357316,7.579928248029752,0.22129752612811276,0.0729880016297102,9.794441226746319,10.591430047328704,0.0,
ID126764 ? ID126791,3,126764,126791,0.16141120625346947,6.687252076066581,13.761170543484885,0.4017601352218379,0.24815920554101467,10.32172707077458,11.137200935138463,0.0,
ID126898 ? ID126920,3,126898,126920,0.06680778666445561,14.636632123604233,8.853236737916127,0.258472022982093,0.39413520880043507,10.245774595152957,12.045498476049257,0.0,
ID126550 ? ID126575,3,126550,126575,0.01615545477396817,NaN,4.353596041218775,0.12710410998063032,0.01459760032594204,9.500446684451045,10.809317261981754,0.0,
ID126734 ? ID126764,3,126734,126764,0.18931996155544367,23.00110124066123,14.903447409403954,0.4351091375223504,0.2189640048891306,10.090657502983376,10.79074187212413,0.0,
ID127013 ? ID127035,3,127013,127035,0.0033667544434099962,48.37185839112966,1.9874410535832905,0.05802374034315606,0.5401112120598555,10.137304523141768,12.092938046099476,0.0,
ID127184 ? ID127213,3,127184,127213,0.058235698659724146,103.30298947930562,8.265767412399772,0.241320738146816,0.744477616623044,10.780460307463152,11.277740118907335,0.0,
ID126985 ? ID127013,3,126985,127013,0.0057280162440681535,22.37589194350987,2.5923322100698636,0.07568365902933177,0.5109160114079714,10.167333931038426,12.051481483893518,0.0,
ID127155 ? ID127184,3,127155,127184,0.22457407413588404,19.45050444975374,16.231862103623495,0.4738924710690011,0.7152824159711599,10.779366104553615,11.395943018640038,0.0,
ID126944 ? ID126965,3,126944,126965,0.0018029105928769164,5.451275951812943,1.4543724219702123,0.04246069468198697,0.4525256101042032,10.288047721928109,12.085269962122535,0.0,
ID126575 ? ID126602,3,126575,126602,0.09173343430841527,22.346975225871514,10.3741461509934,0.3028752784702232,0.04379280097782612,9.68889751566956,10.727137480912406,0.0,
ID126816 ? ID126848,3,126816,126848,0.1734283760379366,28.114260245413874,14.264239243035805,0.4164473268469094,0.30654960684478283,10.601665013668342,11.617585208524108,0.0,
ID127085 ? ID127108,3,127085,127108,0.026973172727392893,4.801908531890859,5.625414811537655,0.1642351141729225,0.6276968140155077,10.335033863539541,12.008265227073963,0.0,
ID126679 ? ID126702,3,126679,126702,0.019339566601532795,21.993868951381828,4.763343535730128,0.13906677029949605,0.16057360358536243,9.626717222966677,10.469738617155542,0.0,
