 ,Label,Area,Mean,Min,Max,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,image153.tif,54,255,255,255,9.392,7.321,84.518,10.296,610,10,60.945,7.000
2,image153.tif,54,255,255,255,9.629,7.140,83.953,10.198,53,55,101.310,7.000
3,image153.tif,67,255,255,255,10.304,8.279,86.795,10.770,905,59,111.801,8.000
4,image153.tif,54,255,255,255,10.673,6.442,112.049,11.180,832,114,116.565,7.000
5,image153.tif,57,255,255,255,9.977,7.274,67.909,10.770,968,138,68.199,8.000
6,image153.tif,83,255,255,255,10.593,9.976,81.579,11.402,214,131,105.255,10.000
7,image153.tif,60,255,255,255,9.176,8.325,93.516,10.000,971,140,126.870,8.000
8,image153.tif,70,255,255,255,9.980,8.930,113.920,10.817,211,145,123.690,9.000
9,image153.tif,52,255,255,255,11.242,5.889,84.539,11.402,109,158,74.745,6.000
10,image153.tif,81,255,255,255,10.241,10.070,45.000,11.314,518,154,135.000,10.000
11,image153.tif,76,255,255,255,10.468,9.244,127.261,11.402,286,178,127.875,9.839
12,image153.tif,64,255,255,255,10.145,8.032,61.243,10.817,373,213,33.690,8.944
13,image153.tif,54,255,255,255,9.323,7.374,34.004,10.000,471,250,36.870,8.000
14,image153.tif,63,255,255,255,10.555,7.599,104.393,11.180,167,252,116.565,8.000
15,image153.tif,60,255,255,255,10.472,7.295,49.888,11.180,65,264,63.435,8.497
16,image153.tif,80,255,255,255,10.456,9.741,84.508,11.662,140,267,120.964,10.000
17,image153.tif,75,255,255,255,10.059,9.493,63.139,10.817,252,284,33.690,10.000
18,image153.tif,77,255,255,255,10.393,9.433,88.504,11.180,514,377,116.565,10.000
19,image153.tif,62,255,255,255,9.147,8.630,2.453,10.296,162,433,29.055,9.000
20,image153.tif,57,255,255,255,10.325,7.029,68.709,10.817,957,443,56.310,7.589
21,image153.tif,59,255,255,255,9.154,8.206,127.333,10.000,108,439,126.870,9.000
22,image153.tif,120,255,255,255,12.649,12.080,26.886,17.692,845,463,137.291,15.365
23,image153.tif,71,255,255,255,10.019,9.023,67.313,10.817,129,497,56.310,9.000
24,image153.tif,53,255,255,255,8.555,7.888,177.661,9.487,256,501,161.565,9.000
25,image153.tif,83,255,255,255,11.015,9.594,102.902,12.083,548,504,114.444,10.000
26,image153.tif,57,255,255,255,10.141,7.156,81.075,10.440,751,521,106.699,7.000
27,image153.tif,63,255,255,255,9.379,8.552,63.161,10.296,883,546,60.945,9.000
28,image153.tif,56,255,255,255,10.688,6.671,152.308,11.180,232,581,153.435,7.155
29,image153.tif,70,255,255,255,9.863,9.036,70.982,10.817,360,616,56.310,9.000
30,image153.tif,64,255,255,255,9.907,8.225,114.376,11.180,378,676,116.565,8.000
31,image153.tif,77,255,255,255,10.207,9.605,81.255,11.180,687,717,116.565,10.000
32,image153.tif,55,255,255,255,9.690,7.227,111.460,10.817,826,719,123.690,7.000
33,image155.tif,56,255,255,255,9.345,7.630,73.497,10.296,824,15,60.945,8.000
34,image155.tif,77,255,255,255,10.388,9.437,134.996,11.180,981,32,116.565,9.899
35,image155.tif,54,255,255,255,9.158,7.508,88.701,9.849,750,65,113.962,8.000
36,image155.tif,60,255,255,255,9.316,8.201,114.974,10.296,247,83,119.055,8.944
37,image155.tif,56,255,255,255,9.724,7.333,50.565,10.630,296,115,41.186,8.000
38,image155.tif,55,255,255,255,9.093,7.702,102.243,9.849,735,131,113.962,8.000
39,image155.tif,64,255,255,255,9.530,8.550,65.221,10.817,741,148,56.310,9.000
40,image155.tif,112,255,255,255,17.233,8.275,147.258,19.235,231,205,152.103,10.286
41,image155.tif,56,255,255,255,9.017,7.907,62.969,9.849,328,220,66.038,8.000
42,image155.tif,59,255,255,255,9.360,8.026,121.954,10.296,705,217,119.055,8.944
43,image155.tif,77,255,255,255,10.747,9.123,94.604,11.402,1010,241,105.255,9.839
44,image155.tif,83,255,255,255,10.830,9.758,76.896,11.705,839,282,70.017,10.000
45,image155.tif,67,255,255,255,11.191,7.623,54.948,11.662,851,337,30.964,8.232
46,image155.tif,74,255,255,255,10.072,9.354,75.415,11.314,729,377,45.000,9.000
47,image155.tif,68,255,255,255,10.822,8.001,78.457,11.705,719,381,70.017,8.000
48,image155.tif,70,255,255,255,9.596,9.287,45.000,10.440,518,389,16.699,9.839
49,image155.tif,56,255,255,255,10.489,6.798,106.035,11.180,202,390,116.565,7.000
50,image155.tif,71,255,255,255,9.725,9.296,11.055,10.817,140,413,56.310,9.803
51,image155.tif,63,255,255,255,9.917,8.088,87.248,10.440,442,440,106.699,8.000
52,image155.tif,51,255,255,255,9.095,7.139,96.520,9.849,529,453,113.962,8.000
53,image155.tif,71,255,255,255,9.812,9.213,82.391,10.817,89,479,123.690,9.000
54,image155.tif,75,255,255,255,10.232,9.333,17.043,11.180,766,489,26.565,9.000
55,image155.tif,54,255,255,255,9.771,7.036,157.744,10.817,83,491,146.310,7.000
56,image155.tif,57,255,255,255,9.612,7.550,134.007,10.817,324,493,123.690,8.485
57,image155.tif,61,255,255,255,9.620,8.074,13.468,10.296,159,497,150.945,8.000
58,image155.tif,62,255,255,255,9.929,7.950,46.716,10.817,756,511,56.310,8.485
59,image155.tif,67,255,255,255,11.120,7.671,83.268,11.402,829,513,105.255,8.000
60,image155.tif,62,255,255,255,9.827,8.033,84.174,10.770,105,541,68.199,8.000
61,image155.tif,65,255,255,255,9.734,8.502,107.666,10.817,449,531,123.690,9.000
62,image155.tif,66,255,255,255,9.284,9.051,38.452,10.296,155,542,29.055,9.000
63,image155.tif,65,255,255,255,9.943,8.323,94.432,10.440,147,540,106.699,8.000
64,image155.tif,84,255,255,255,15.173,7.049,70.710,17.088,927,557,69.444,8.172
65,image155.tif,64,255,255,255,9.167,8.890,63.435,10.296,315,569,60.945,9.000
66,image155.tif,74,255,255,255,10.065,9.361,75.445,10.817,406,575,56.310,9.899
67,image155.tif,56,255,255,255,10.119,7.046,83.137,10.770,418,576,68.199,7.000
68,image155.tif,73,255,255,255,9.795,9.489,151.725,10.817,73,581,123.690,9.000
69,image155.tif,110,255,255,255,15.821,8.853,177.279,21.213,632,612,171.870,10.617
70,image155.tif,52,255,255,255,11.939,5.545,103.631,14.866,244,631,109.654,7.000
71,image155.tif,77,255,255,255,11.245,8.719,63.309,12.083,161,669,65.556,9.656
72,image155.tif,58,255,255,255,8.972,8.231,86.479,9.849,80,668,66.038,8.000
73,image155.tif,56,255,255,255,8.958,7.960,45.002,10.000,734,721,36.870,8.000
74,image157.tif,65,255,255,255,9.943,8.323,4.432,10.440,76,52,163.301,8.000
75,image157.tif,53,255,255,255,9.651,6.992,27.751,10.440,528,63,16.699,7.603
76,image157.tif,53,255,255,255,9.316,7.244,3.038,10.296,949,134,150.945,7.000
77,image157.tif,62,255,255,255,9.845,8.018,169.042,10.817,693,137,146.310,8.000
78,image157.tif,64,255,255,255,9.548,8.534,48.943,10.630,953,150,41.186,9.000
79,image157.tif,55,255,255,255,9.076,7.716,7.924,10.000,93,187,36.870,8.000
80,image157.tif,94,255,255,255,12.633,9.474,67.121,14.560,184,223,74.055,10.394
81,image157.tif,74,255,255,255,10.042,9.382,76.362,11.180,520,232,63.435,9.803
82,image157.tif,52,255,255,255,8.590,7.708,98.538,10.198,749,222,101.310,8.000
83,image157.tif,71,255,255,255,9.900,9.132,58.343,10.817,412,253,33.690,9.000
84,image157.tif,51,255,255,255,9.764,6.650,145.590,10.296,618,250,150.945,7.071
85,image157.tif,67,255,255,255,12.510,6.819,171.082,14.142,310,264,171.870,7.000
86,image157.tif,59,255,255,255,10.053,7.473,119.882,10.817,132,269,123.690,8.000
87,image157.tif,52,255,255,255,10.067,6.577,33.166,10.817,922,279,33.690,7.155
88,image157.tif,68,255,255,255,10.254,8.444,83.928,10.817,305,292,56.310,9.000
89,image157.tif,54,255,255,255,10.560,6.511,127.628,11.402,33,286,127.875,7.071
90,image157.tif,74,255,255,255,9.930,9.488,31.107,10.817,541,294,33.690,9.899
91,image157.tif,63,255,255,255,10.492,7.646,153.699,11.402,531,293,142.125,8.000
92,image157.tif,69,255,255,255,10.356,8.483,94.513,10.817,222,304,123.690,8.000
93,image157.tif,55,255,255,255,9.028,7.756,154.572,9.849,367,341,156.038,8.000
94,image157.tif,66,255,255,255,10.144,8.284,70.770,11.180,932,352,63.435,9.000
95,image157.tif,69,255,255,255,9.797,8.968,97.875,11.180,372,360,79.695,9.000
96,image157.tif,66,255,255,255,9.797,8.577,90.000,10.817,38,361,123.690,8.000
97,image157.tif,71,255,255,255,11.137,8.117,96.340,11.705,419,363,109.983,8.000
98,image157.tif,79,255,255,255,10.368,9.702,134.995,11.180,429,370,116.565,9.899
99,image157.tif,68,255,255,255,9.933,8.717,107.219,10.630,118,386,131.186,9.000
100,image157.tif,77,255,255,255,10.474,9.360,84.559,11.180,502,393,116.565,9.000
101,image157.tif,76,255,255,255,10.077,9.603,122.428,11.180,718,411,116.565,10.000
102,image157.tif,55,255,255,255,8.651,8.095,124.622,10.000,121,431,126.870,8.000
103,image157.tif,63,255,255,255,9.388,8.544,11.809,10.440,1001,438,163.301,9.000
104,image157.tif,59,255,255,255,9.376,8.012,163.395,10.000,248,443,126.870,8.000
105,image157.tif,56,255,255,255,9.563,7.456,178.011,10.440,62,452,163.301,7.000
106,image157.tif,78,255,255,255,10.196,9.740,108.435,11.314,59,459,135.000,10.000
107,image157.tif,71,255,255,255,10.003,9.037,94.474,10.817,318,473,123.690,9.839
108,image157.tif,63,255,255,255,10.888,7.367,96.367,11.402,195,475,105.255,8.000
109,image157.tif,60,255,255,255,9.425,8.106,93.172,10.296,328,480,119.055,8.000
110,image157.tif,64,255,255,255,10.043,8.113,161.836,10.817,202,485,146.310,8.854
111,image157.tif,58,255,255,255,9.344,7.903,71.465,10.000,998,515,36.870,8.000
112,image157.tif,62,255,255,255,10.123,7.798,21.697,10.770,608,533,21.801,8.731
113,image157.tif,62,255,255,255,9.849,8.015,28.956,10.817,778,553,33.690,8.000
114,image157.tif,67,255,255,255,9.726,8.771,107.833,10.770,289,581,111.801,9.000
115,image157.tif,73,255,255,255,10.023,9.273,120.339,11.180,882,622,116.565,9.839
116,image157.tif,65,255,255,255,10.144,8.159,156.872,10.817,876,634,146.310,8.944
117,image157.tif,70,255,255,255,9.710,9.179,72.580,10.770,705,679,68.199,9.000
118,image157.tif,68,255,255,255,10.170,8.513,71.593,10.817,117,725,56.310,8.854
119,image159.tif,73,255,255,255,10.002,9.292,27.033,10.817,328,24,33.690,9.839
120,image159.tif,57,255,255,255,10.304,7.043,111.666,11.180,863,35,116.565,7.761
121,image159.tif,55,255,255,255,11.730,5.970,137.263,13.416,661,48,153.435,7.766
122,image159.tif,65,255,255,255,10.048,8.237,86.628,10.770,233,63,68.199,8.000
123,image159.tif,72,255,255,255,9.942,9.221,102.706,10.817,323,89,123.690,9.899
124,image159.tif,51,255,255,255,8.539,7.605,113.942,9.487,666,89,108.435,8.000
125,image159.tif,68,255,255,255,11.238,7.704,116.961,11.705,312,90,109.983,8.403
126,image159.tif,67,255,255,255,9.506,8.974,103.310,10.440,877,105,106.699,9.000
127,image159.tif,55,255,255,255,9.375,7.469,147.397,10.000,749,130,126.870,8.000
128,image159.tif,57,255,255,255,8.985,8.077,49.728,10.000,260,139,53.130,8.854
129,image159.tif,54,255,255,255,9.932,6.922,35.506,10.817,316,243,33.690,7.766
130,image159.tif,65,255,255,255,10.120,8.178,138.806,11.402,304,238,142.125,9.000
131,image159.tif,57,255,255,255,9.486,7.651,57.175,10.296,122,265,60.945,8.000
132,image159.tif,62,255,255,255,10.220,7.724,136.403,10.817,513,256,123.690,8.485
133,image159.tif,55,255,255,255,9.609,7.288,118.337,10.296,110,258,119.055,7.906
134,image159.tif,63,255,255,255,9.623,8.336,40.154,10.296,500,265,29.055,8.944
135,image159.tif,60,255,255,255,9.474,8.064,168.090,10.296,892,270,150.945,8.000
136,image159.tif,65,255,255,255,9.720,8.514,117.043,10.817,581,280,123.690,9.000
137,image159.tif,74,255,255,255,9.977,9.443,59.368,11.180,45,316,26.565,9.899
138,image159.tif,73,255,255,255,9.902,9.387,19.794,10.817,483,324,33.690,9.000
139,image159.tif,62,255,255,255,10.011,7.886,2.998,10.770,484,335,21.801,8.854
140,image159.tif,57,255,255,255,8.859,8.192,28.653,10.296,250,375,29.055,9.000
141,image159.tif,56,255,255,255,9.688,7.360,8.636,10.296,752,378,29.055,7.000
142,image159.tif,67,255,255,255,9.833,8.675,58.428,10.817,392,390,33.690,9.192
143,image159.tif,63,255,255,255,9.367,8.563,136.252,10.630,492,387,131.186,9.000
144,image159.tif,68,255,255,255,9.433,9.179,153.435,10.296,221,431,119.055,9.000
145,image159.tif,73,255,255,255,10.167,9.142,40.853,11.402,179,463,37.875,9.000
146,image159.tif,52,255,255,255,8.544,7.749,19.993,9.434,544,499,32.005,8.000
147,image159.tif,79,255,255,255,10.708,9.393,92.221,11.402,254,508,105.255,10.000
148,image159.tif,64,255,255,255,9.842,8.280,42.532,10.817,453,556,56.310,8.944
149,image159.tif,76,255,255,255,10.459,9.252,77.022,11.402,215,637,74.745,9.899
150,image159.tif,51,255,255,255,9.351,6.944,42.788,10.000,546,642,36.870,7.766
151,image159.tif,59,255,255,255,13.841,5.428,144.872,14.765,884,659,151.699,6.364
152,image159.tif,54,255,255,255,10.109,6.801,104.675,10.770,302,658,111.801,7.000
153,image159.tif,73,255,255,255,11.030,8.427,69.267,11.705,948,684,70.017,9.192
154,image159.tif,66,255,255,255,10.281,8.174,75.352,10.817,957,686,56.310,8.000
155,image159.tif,71,255,255,255,10.201,8.862,88.582,11.180,426,704,63.435,9.000
156,image159.tif,73,255,255,255,9.947,9.344,44.649,10.817,429,712,33.690,9.899
157,image159.tif,78,255,255,255,10.465,9.490,90.000,11.180,532,722,116.565,9.000
158,image159.tif,68,255,255,255,9.577,9.040,90.878,10.440,894,750,73.301,9.000
159,image161.tif,51,255,255,255,8.453,7.682,21.668,9.487,793,8,18.435,8.000
160,image161.tif,66,255,255,255,9.825,8.553,61.566,10.817,786,19,56.310,9.000
161,image161.tif,71,255,255,255,9.773,9.250,66.183,10.817,797,22,56.310,9.000
162,image161.tif,54,255,255,255,10.143,6.779,136.876,10.817,286,28,123.690,7.778
163,image161.tif,75,255,255,255,10.248,9.318,90.978,11.402,249,59,52.125,9.000
164,image161.tif,53,255,255,255,11.157,6.048,108.377,11.662,243,59,120.964,6.641
165,image161.tif,91,255,255,255,12.028,9.633,170.478,14.560,4,66,164.055,11.000
166,image161.tif,65,255,255,255,9.364,8.838,34.690,10.296,71,74,29.055,9.000
167,image161.tif,60,255,255,255,9.383,8.142,83.756,10.440,934,94,73.301,8.000
168,image161.tif,51,255,255,255,9.202,7.056,82.919,9.849,938,104,66.038,7.000
169,image161.tif,84,255,255,255,11.374,9.403,85.807,12.207,457,131,55.008,9.000
170,image161.tif,66,255,255,255,10.073,8.342,30.063,11.402,528,143,37.875,8.825
171,image161.tif,52,255,255,255,9.685,6.836,105.654,10.440,541,135,106.699,7.000
172,image161.tif,62,255,255,255,10.146,7.781,124.677,10.817,997,136,123.690,8.497
173,image161.tif,73,255,255,255,10.874,8.548,87.970,11.402,726,157,74.745,8.000
174,image161.tif,60,255,255,255,8.781,8.700,30.856,10.198,178,210,11.310,9.000
175,image161.tif,50,255,255,255,10.053,6.333,4.421,10.440,869,215,16.699,6.000
176,image161.tif,59,255,255,255,9.423,7.972,39.868,10.296,508,262,29.055,8.485
177,image161.tif,66,255,255,255,9.769,8.602,48.294,10.817,279,276,33.690,9.000
178,image161.tif,52,255,255,255,8.494,7.795,72.510,9.487,33,276,108.435,8.000
179,image161.tif,62,255,255,255,9.255,8.529,45.004,10.000,596,303,36.870,9.000
180,image161.tif,50,255,255,255,8.157,7.804,70.134,8.944,308,310,116.565,8.000
181,image161.tif,67,255,255,255,9.951,8.572,71.118,11.180,136,352,63.435,9.000
182,image161.tif,52,255,255,255,9.223,7.178,93.861,9.849,14,365,66.038,7.000
183,image161.tif,60,255,255,255,10.978,6.959,52.107,11.402,245,379,37.875,7.766
184,image161.tif,66,255,255,255,9.588,8.764,73.318,10.770,521,390,68.199,9.000
185,image161.tif,78,255,255,255,10.673,9.305,101.314,11.662,898,393,120.964,9.000
186,image161.tif,51,255,255,255,9.759,6.654,32.748,10.296,242,430,29.055,7.155
187,image161.tif,52,255,255,255,9.285,7.131,152.456,9.849,194,431,156.038,7.603
188,image161.tif,60,255,255,255,9.213,8.292,0.000,9.849,251,431,156.038,8.000
189,image161.tif,64,255,255,255,9.501,8.577,76.395,11.180,243,444,79.695,9.000
190,image161.tif,79,255,255,255,10.097,9.962,152.650,11.180,635,566,153.435,10.000
191,image161.tif,228,255,255,255,23.688,12.255,43.250,26.870,164,586,45.000,14.504
192,image161.tif,89,255,255,255,11.047,10.258,60.754,11.705,93,671,109.983,10.607
193,image161.tif,70,255,255,255,9.703,9.185,93.843,10.817,1001,709,123.690,9.000
194,image163.tif,0.778,255,255,255,1.025,0.967,111.747,1.181,65,46,131.186,1.000
195,image163.tif,0.864,255,255,255,1.214,0.906,100.089,1.301,377,90,109.983,0.889
196,image163.tif,0.963,255,255,255,1.167,1.050,51.092,1.267,327,195,37.875,1.100
197,image163.tif,0.704,255,255,255,1.165,0.769,83.993,1.267,257,211,74.745,0.778
198,image163.tif,1.346,255,255,255,1.362,1.258,177.406,1.449,319,258,147.529,1.222
199,image163.tif,0.753,255,255,255,1.038,0.923,68.200,1.181,640,265,41.186,0.889
200,image163.tif,0.716,255,255,255,1.097,0.831,85.638,1.197,759,277,111.801,0.889
201,image163.tif,0.963,255,255,255,1.131,1.084,57.664,1.257,149,340,45.000,1.111
