LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID19073,19073,0,1.0,5.237381004754763,7.053730229267463,0.0,0.5917990505695343,28,0.6669737553556634,1,,34355.25862068965,34228.0,32465.0,36302.0,3985210.0,958.3376106633789,-0.9739737976548747,-2683.1265494757104,0.0025489815079509535,0.0033483886311407923,0.8463192526745815,0.5484592020376424,0.901322858130339,1.5430851547942412,1.3975500279510003,4.4565246372281795,0.8842694143996551,0.9871794871794872,3.7697506970230337
ID19077,19077,0,1.0,4.8871199319121414,6.449152111275155,0.0,0.6129347309470177,29,0.6626286032035247,1,,34422.129310344826,34393.0,32682.0,36297.0,3992967.0,960.3313063292491,-0.9737740827869654,-2661.79231038283,0.006320896359622582,8.724903396257953E-4,0.8676029041377888,0.5320682319318893,0.9769924083313037,1.6306233901385259,1.3794000275880005,4.48921185937417,0.8601216735740532,0.9870129870129869,3.8223019005716377
ID19079,19079,0,1.0,4.698384400725337,5.750306179952037,0.0,0.634070411324501,30,0.6143711179619173,1,,34907.9693877551,34625.0,32159.0,38220.0,3420981.0,1569.7628388349785,-0.9736157325582372,-1641.2059426200744,6.432303595735188E-5,0.010318092120244165,0.7429514235745377,0.541749365044881,1.1226156027727248,1.3713932521415844,1.1858000237159998,4.080625767615123,0.8948861433968992,0.98989898989899,3.747322237546537
ID19082,19082,0,1.0,4.579536534947241,5.414625300694579,0.0,0.6552060917019844,31,0.5704874666789234,1,,36000.939024390245,35411.0,31063.0,44598.0,2952077.0,3826.1891086303494,-0.9727159153775295,-670.8941843637108,0.00951521104491859,0.003018459112321849,0.6125009074549146,0.5681868952794584,0.5857314981279017,1.0779919645166414,1.0224500204490001,3.7762004800430837,0.9010354245164937,0.9768786127167632,3.7345132025966308
ID19084,19084,0,1.0,4.601666712683326,5.277874448914004,0.0,0.6763417720794678,32,0.515516177524998,1,,35565.710144927536,33920.0,29949.0,46372.0,2454034.0,4453.653437814877,-0.9726376408493418,-567.7309816346308,-0.007763398768599564,-0.004104120079270808,0.6149477816477176,0.4769723753327648,1.554023080500006,1.2892733698019572,0.8349000166979998,3.426957881307467,0.8933606109701774,0.9787234042553195,3.750520399132975
ID19087,19087,0,1.0,5.0231142600585,5.856806167465805,0.0,0.6974774524569511,33,0.6952477884407725,1,,32707.056,32411.0,30587.0,36351.0,4088382.0,1260.1167208098288,-0.9754610013857082,-2063.544082141948,0.024620614375892396,-0.03565696508794162,0.8824961280517354,0.5991856852964645,1.5992622831453307,1.4728257862420306,1.518550030371001,6.4158142167193555,0.46359144150481046,0.7819314641744547,5.206396354267625
ID19088,19088,0,1.0,5.089791717564583,6.325763952146531,0.0,0.7186131328344345,34,0.5266038153959294,1,,31977.041666666668,32013.0,30958.0,32940.0,2302347.0,486.2839383137919,-0.9764728117844828,-5458.439260167053,0.007271569304208598,-0.013739508360196724,0.7579034621723759,0.3899550855492489,1.6204827725543887,1.9435660419837182,0.8712000174240003,3.9028993654259123,0.7187089163825224,0.9411764705882353,4.181464515126772
