tif_name,frame,bug_xy,innerback_xy,innerback_radius,innerback_radius_max,ellipse_center,ellipse_width,ellipse_height,ellipse_major,ellipse_minor,ellipse_angle,ellipse_angle_adjust,ellipse_center_intensity,ellipse_mean_intensity,area_ratio,z_sign,z_center,center,center_left,center_right,trackmate_ellipse_center,trackmate_ellipse_major,trackmate_ellipse_minor,trackmate_ellipse_angle,trackmate_z
I15_entry_0006.nd2 - C=0-2_pair49_302_454,0,[7.48985857 5.66223276],[6.49888177 6.99361657],3.537468724219119,3.770791968369134,"(68.93560791015625, 52.81817626953125)",7.249329090118408,14.141878128051758,14.141878128051758,7.249329090118408,26.534494400024414,2.0339106194273198,37673.0,34860.044117647056,"[0.60855704 0.60855704 0.60855704 0.60855704 0.60855704 0.60855704
 0.60855704 0.60855704]",1,1.6793402535920157,[7.58291687 5.80999939 1.67934025],[7.74911697 5.47093021 0.0839702 ],[nan nan  0.],[7.48985857 5.66223276],1.86460865742054,0.927477024135963,2.17797694777523,2.4363685689520764
I15_entry_0006.nd2 - C=0-2_pair49_302_454,1,[7.9780865  6.19932105],[6.52714693 6.99187721],3.51452982451914,3.770791968369134,"(74.08773803710938, 57.01683044433594)",10.460216522216797,17.66677474975586,17.66677474975586,10.460216522216797,18.28604507446289,1.8899480205123658,31949.0,34070.752808988764,"[0.39616857 0.39616857 0.39616857 0.39616857 0.39616857 0.39616857
 0.39616857 0.39616857]",1,3.3507314016745915,[8.14965118 6.27185135 3.3507314 ],[nan nan  0.],[8.01449852 6.77246078 1.08163741],[7.9780865  6.19932105],2.2477256448197904,1.0977914803283493,-1.5625306479096437,3.4077864620532967
I15_entry_0006.nd2 - C=0-2_pair49_302_454,2,[8.26307826 7.42058096],[6.46166724 6.99667083],3.542364877045719,3.770791968369134,"(76.22551727294922, 67.19647216796875)",6.51474142074585,18.74538803100586,18.74538803100586,6.51474142074585,14.381670951843262,1.8218038368429883,32431.0,34480.64102564102,"[0.58907006 0.58907006 0.58907006 0.58907006 0.58907006 0.58907006
 0.58907006 0.58907006]",1,1.2529189244349856,[8.3848069  7.39161194 1.25291892],[nan nan  0.],[8.21901382 7.93262711 0.18400788],[8.26307826 7.42058096],2.5031530054886733,1.0184397158805527,1.782507088172428,3.022786756795913
I15_entry_0006.nd2 - C=0-2_pair49_302_454,3,[8.07476451 8.5662015 ],[6.426961   6.99378526],3.547797122035825,3.770791968369134,"(74.58917999267578, 76.46501922607422)",5.9350199699401855,15.231878280639648,15.231878280639648,5.9350199699401855,27.036319732666016,2.0426691237518315,32476.0,34161.67857142857,"[0.53520242 0.53520242 0.53520242 0.53520242 0.53520242 0.53520242
 0.53520242 0.53520242]",1,0.9382306222624504,[8.2048098  8.41115211 0.93823062],[8.41458626 7.99026398 0.        ],[7.963218   8.72731819 0.        ],[8.07476451 8.5662015 ],2.3989636528708824,0.9644179663825656,-1.192634870503384,2.6685741918875427
I15_entry_0006.nd2 - C=0-2_pair49_302_454,4,[7.47452744 9.31415432],[6.31178821 6.89086126],3.486196362497674,3.770791968369134,"(67.58330535888672, 83.94969177246094)",2.8405349254608154,8.356106758117676,8.356106758117676,2.8405349254608154,11.391586303710938,1.7696170148197432,34516.0,33506.566666666666,"[0.72416874 0.72416874 0.72416874 0.72416874 0.72416874 0.72416874
 0.72416874]",1,0.0,[7.43416359 9.23446609 0.        ],[nan nan  0.],[nan nan  0.],[7.47452744 9.31415432],2.206665147771034,1.001658634659305,1.9390739527885108,2.708632482497196
I15_entry_0006.nd2 - C=0-2_pair49_302_454,5,[7.11515159 9.88969707],[6.32265976 6.89202678],3.487024864041236,3.770791968369134,"(nan, nan)",,,,,,,,,,0,0.0,[nan nan  0.],[nan nan nan],[nan nan nan],[7.11515159 9.88969707],2.2675846087821596,0.8665870367027771,-0.73863325983003,0.0
I15_entry_0006.nd2 - C=0-2_pair49_302_454,6,[ 6.56675831 10.09884625],[6.33189878 6.93388635],3.504652906185881,3.770791968369134,"(60.96185302734375, 93.20933532714844)",8.901381492614746,27.6707706451416,27.6707706451416,8.901381492614746,65.08654022216797,2.7067707524034494,29896.0,31713.5,[0.42388232],-1,-1.9465821742334917,[ 6.70580383 10.25302689 -1.94658217],[7.37 9.9  0.  ],[ 6.1515057  10.53978203 -1.38498671],[ 6.56675831 10.09884625],2.15937792642329,0.714567124612899,2.853410977729552,-1.381047846261641
I15_entry_0006.nd2 - C=0-2_pair49_302_454,7,[ 5.68849771 10.0730048 ],[6.34554824 6.89588453],3.489785115295936,3.770791968369134,"(51.74177551269531, 94.40473937988281)",8.125658988952637,20.892276763916016,20.892276763916016,8.125658988952637,100.04048156738281,3.316832115426424,29882.0,28079.006097560974,0.9225095429439383,-1,-1.3458281520200246,[ 5.69159531 10.38452133 -1.34582815],[ 6.26788345 10.52760391 -1.12407653],[ 5.19533142 10.31129486 -1.17570298],[ 5.68849771 10.0730048 ],1.9230417107422928,0.6387890982478384,0.1932440584650252,-1.0442475198954995
I15_entry_0006.nd2 - C=0-2_pair49_302_454,8,[4.68775367 9.83012087],[6.31813433 6.90764082],3.518910667384634,3.770791968369134,"(41.32407760620117, 91.06700134277344)",7.069810390472412,22.007593154907227,22.007593154907227,7.069810390472412,122.052978515625,3.701022663758454,28392.0,27711.12837837838,0.9288073959831833,-1,-1.1498575341320678,[ 4.54564854 10.01737015 -1.14985753],[ 5.04243107 10.32848907 -0.93811163],[ 4.09826202  9.75004662 -1.0295052 ],[4.68775367 9.83012087],1.5861190346714493,0.7080218710440074,0.6001715380391177,-1.35177281846698
I15_entry_0006.nd2 - C=0-2_pair49_302_454,9,[3.74789033 9.08915621],[6.28495965 6.85193096],3.520005026194293,3.770791968369134,"(35.54689407348633, 82.79963684082031)",6.678006172180176,21.804235458374023,21.804235458374023,6.678006172180176,136.36231994628906,3.950767785515578,28709.0,31912.333333333332,[0.55963184],-1,-1.470780049486212,[ 3.91015835  9.10796005 -1.47078005],[4.40015274 9.48673546 0.        ],[ 3.42934538  8.77939011 -1.36899622],[3.74789033 9.08915621],1.6612001622059205,0.8213651947348044,0.8724192534195927,-1.6213929917613301
