LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID126848,126848,3,1.0,10.613000106129913,11.82550011825492,0.0,0.32114720717072487,11,0.6508997365063492,1,,5081.207207207207,5097.0,4494.0,5554.0,564014.0,268.7576507872377,-0.9774804385672516,-1641.2857974712576,0.006248350957971894,0.03289427155635448,0.7467429069172886,0.6290502925352532,1.0201928737329953,1.1870957152053778,1.3310000266200008,5.143961797236225,0.6321097062230421,0.8979591836734693,4.45870462284319
ID127108,127108,3,1.0,10.41634496487431,12.019745557277188,0.0,0.6422944143414497,22,0.8174618479934208,1,,5182.641618497109,5138.0,4304.0,5984.0,896597.0,300.80015173049054,-0.9779199042852801,-1526.1789421703604,-0.013983566398909984,0.008957447257434059,1.1173266802137847,0.6224557013978828,2.4089276113161295,1.7950300362010392,2.0993500419870013,7.341109696159909,0.48952096331777856,0.8610421836228289,5.066631100180945
ID126791,126791,3,1.0,10.44955075809026,11.292165145601366,0.0,0.2627568058669567,9,0.8864063056919166,1,,5158.730392156863,5260.0,3992.0,5671.0,1052381.0,379.65829964651874,-0.9767343096136532,-1140.8812101971305,0.029817594935643524,-0.026130352621303757,0.9975696862418316,0.8702354006530294,-1.3696075455868852,1.1463216567531611,2.4684000493680003,6.734218054533979,0.6839920609285586,0.8850325379609543,4.286268785894485
ID127239,127239,3,0.9900000095367432,10.430279383582084,10.297288391261171,0.0,0.7882704176008701,27,0.5968821887412744,1,,5394.623655913979,5414.0,5120.0,5681.0,501700.0,115.94385016393427,-0.9755003713828595,-3705.197549809501,-0.005361228252311125,-0.04334771273590014,0.7499292799667175,0.5310366863699145,1.300749641070117,1.4121986281081995,1.1192500223849995,4.865427796661184,0.5941483724677715,0.8486238532110095,4.598937167431232
ID126985,126985,3,1.0,10.202882046473276,12.038507064829544,0.0,0.49631841108202934,17,0.8599404295485431,1,,5172.926701570681,5114.0,4192.0,6500.0,988029.0,412.3522317389779,-0.9775868250459155,-1094.3340934977082,-0.048368795912110164,0.03161883014045338,1.1417382661647502,0.6983933748550947,-0.6048638896013252,1.6348068399154594,2.3232000464639992,6.0130007170837025,0.8074468794529778,0.9648241206030151,3.945008577192743
ID126920,126920,3,1.0,10.225662562824377,12.17315995348755,0.0,0.4087328091263771,14,0.7813261978373663,1,,5203.810126582279,5169.0,4443.0,6184.0,822202.0,341.26372774046973,-0.9772795805585789,-1311.7884030810862,2.186960782936288E-4,0.005642160113433421,0.9560504453537054,0.668860569819425,2.633244812711158,1.42937181303992,1.9178500383570003,6.076878942879635,0.6526244493991862,0.9135446685878962,4.3880671217004785
ID126602,126602,3,1.0,9.836604459736744,10.693730636532289,0.0,0.05839040130376816,2,0.9078720371114752,1,,5227.560185185185,5225.0,4198.0,6406.0,1129153.0,351.2223917319609,-0.9762310587336055,-1222.6147313802378,-0.024933985753526254,0.006825497199919986,1.1203053286970757,0.8067903749773084,2.014349524839287,1.3885953073356696,2.5894000517879996,6.93625674235113,0.6763300693768164,0.9204301075268816,4.310479498078085
