Index,Angle_before_entry,Angle_after_entry,Type,Initial_point,Final_point,Capsule_center,Hole_position,Time_on_hole,unique_index
0,65.86519274183713,164.89025484870714,b,"(150.124, 120.041, 1.0082466644887162)","(107.587, 95.105, -1.1614586061135697)","(99.589, 95.548, 0)","(114.022, 122.552, 0)",0.56,I20_entry_Video_0_ROI_2
1,6.136256390826003,173.4458568668236,b,"(165.963, 128.509, -0.43534343765582406)","(102.492, 116.496, -1.5628504592971417)","(93.442, 118.489, 0)","(129.634, 121.521, 0)",0.32,I20_entry_Video_0_ROI_2
2,57.54447921751024,174.2645135075987,b,"(103.481, 28.027, 1.6049049122279682)","(89.479, 75.001, -1.7265562767981208)","(87.927, 84.903, 0)","(83.43, 44.163, 0)",0.4,I20_entry_Video_3_ROI_4
3,11.692926684433273,163.0633666071042,b,"(16.059, 135.952, 0.9093193484029616)","(82.118, 86.542, -1.0956837856564121)","(72.512, 78.63, 0)","(46.691, 110.68, 0)",0.24,I20_entry_Video_5_ROI_3
5,18.23764844928492,176.27580658804695,b,"(183.996, 87.983, 10.495771853070842)","(135.497, 144.013, 1.6978483478200834)","(135.561, 145.61, 0)","(152.186, 119.534, 0)",0.48,20240313_205214_702_Video_1_ROI_2
6,29.226868341821366,152.95065015004494,b,"(26.087, 78.982, 2.0711574945464966)","(94.583, 124.036, 2.6760083288567422)","(104.128, 110.745, 0)","(67.866, 107.475, 0)",0.32,20240313_205214_702_Video_2_ROI_2
8,64.53120066523412,153.5590524530348,b,"(70.007, 14.977, 13.334376586063572)","(106.209, 96.789, -2.163689019277907)","(96.577, 78.472, 0)","(105.519, 59.459, 0)",0.4,20240313_205214_702_Video_2_ROI_5
10,17.84648516023753,169.35316796827527,b,"(170.499, 113.977, 6.205406904620549)","(76.543, 109.946, 2.9378486782384785)","(68.427, 114.647, 0)","(98.373, 108.027, 0)",0.16,20240313_205214_702_Video_7_ROI_2
12,16.402582541361873,175.4673723546056,b,"(98.525, 4.999, 1.7081318054967527)","(110.007, 81.029, 2.2814571306485236)","(107.076, 74.027, 0)","(107.019, 34.28, 0)",0.16,20240313_210710_628_Video_7_ROI_11
16,8.173862221992357,173.79162995969978,b,"(101.987, 127.984, 2.1383270547470383)","(69.701, 74.425, 1.0565352204911065)","(77.198, 78.171, 0)","(95.309, 114.671, 0)",0.24,20240313_212243_951_Video_4_ROI_16
17,51.794403837050346,171.32350143874567,b,"(84.646, 152.654, 1.56577266138651)","(77.491, 92.988, 2.862246908110432)","(85.123, 96.255, 0)","(97.088, 134.388, 0)",0.24,20240313_212243_951_Video_4_ROI_16
18,16.138221597196225,175.3972415406947,b,"(141.469, 156.945, 2.934195606240496)","(91.007, 102.001, 2.239106935118004)","(85.98, 97.054, 0)","(108.279, 129.371, 0)",0.4,20240313_212243_951_Video_4_ROI_16
19,15.224742069340861,176.85567002279612,b,"(9.506, 78.997, 8.527929191602507)","(82.965, 82.096, 1.0285811361900246)","(83.139, 84.16, 0)","(41.126, 81.993, 0)",0.32,20240313_212243_951_Video_8_ROI_8
21,65.01763592357665,178.70718578327273,b,"(21.479, 11.93, 1.3780137091124391)","(91.001, 75.003, 0.9334797894312592)","(63.622, 63.626, 0)","(24.73, 49.435, 0)",0.48,20240313_212243_951_Video_9_ROI_17
