motion_mode,residence_time,bug_capsule_pair_index,inner_diameter,body_length
Away_from_surface somersault,25,1,7.4800074800074805,2.35
Circling,208,1,7.4800074800074805,2.35
Away_from_surface somersault,45,1,7.4800074800074805,2.35
Shaking,68,2,4.62000462000462,1.25
Near_surface spinning,91,2,4.62000462000462,1.25
Shaking,36,2,4.62000462000462,1.25
Near_surface spinning,31,2,4.62000462000462,1.25
Shaking,64,2,4.62000462000462,1.25
Near_surface spinning,30,2,4.62000462000462,1.25
Shaking,31,2,4.62000462000462,1.25
Away_from_surface somersault,22,3,7.15000715000715,1.69
Away_from_surface somersault,19,4,8.14000814000814,1.42
Circling,64,4,8.14000814000814,1.42
Away_from_surface somersault,91,4,8.14000814000814,1.42
Circling,138,4,8.14000814000814,1.42
Away_from_surface somersault,32,4,8.14000814000814,1.42
Circling,40,4,8.14000814000814,1.42
Away_from_surface somersault,54,4,8.14000814000814,1.42
Away_from_surface somersault,101,5,7.700007700007701,1.53
Away_from_surface somersault,86,6,8.14000814000814,1.54
Circling,351,7,4.2900042900042905,1.84
Shaking,61,7,4.2900042900042905,1.84
Away_from_surface somersault,46,8,8.03000803000803,1.62
Skating,112,8,8.03000803000803,1.62
Away_from_surface somersault,52,8,8.03000803000803,1.62
Skating,44,10,5.83000583000583,1.65
Away_from_surface somersault,37,10,5.83000583000583,1.65
Skating,30,10,5.83000583000583,1.65
Away_from_surface somersault,77,10,5.83000583000583,1.65
Skating,31,12,4.62000462000462,1.38
Circling,86,12,4.62000462000462,1.38
Skating,182,12,4.62000462000462,1.38
Circling,28,12,4.62000462000462,1.38
Skating,70,12,4.62000462000462,1.38
Shaking,26,13,5.5000055000055,1.56
Near_surface spinning,82,13,5.5000055000055,1.56
Shaking,11,13,5.5000055000055,1.56
Near_surface spinning,124,13,5.5000055000055,1.56
Shaking,39,13,5.5000055000055,1.56
Away_from_surface somersault,108,14,7.26000726000726,1.49
Skating,69,16,8.91000891000891,1.54
Away_from_surface somersault,181,16,8.91000891000891,1.54
Away_from_surface somersault,108,17,8.14000814000814,1.74
Away_from_surface somersault,144,18,9.13000913000913,1.4
Skating,54,19,7.810007810007811,1.59
Circling,97,19,7.810007810007811,1.59
Away_from_surface somersault,17,19,7.810007810007811,1.59
Skating,93,19,7.810007810007811,1.59
Away_from_surface somersault,27,20,8.91000891000891,1.81
Skating,41,20,8.91000891000891,1.81
Away_from_surface somersault,32,20,8.91000891000891,1.81
Skating,43,20,8.91000891000891,1.81
Away_from_surface somersault,62,21,8.91000891000891,1.57
Circling,43,21,8.91000891000891,1.57
Away_from_surface somersault,50,21,8.91000891000891,1.57
Circling,62,21,8.91000891000891,1.57
Away_from_surface somersault,34,22,7.370007370007371,1.56
Away_from_surface somersault,37,23,8.14000814000814,1.45
Away_from_surface somersault,66,24,7.4800074800074805,2.13
Skating,32,25,7.15000715000715,1.4
Circling,71,25,7.15000715000715,1.4
Away_from_surface somersault,117,25,7.15000715000715,1.4
Skating,31,25,7.15000715000715,1.4
Skating,12,27,7.26000726000726,1.69
Away_from_surface somersault,17,27,7.26000726000726,1.69
Away_from_surface somersault,97,28,7.26000726000726,1.69
Shaking,27,29,3.7400037400037403,1.6
Skating,56,29,3.7400037400037403,1.6
Shaking,25,29,3.7400037400037403,1.6
Skating,22,29,3.7400037400037403,1.6
Shaking,46,29,3.7400037400037403,1.6
Skating,120,29,3.7400037400037403,1.6
Shaking,25,32,4.2900042900042905,1.34
Away_from_surface somersault,26,33,8.69000869000869,1.6
Skating,61,33,8.69000869000869,1.6
Shaking,20,36,4.51000451000451,1.64
Away_from_surface somersault,68,37,7.0400070400070405,1.72
Circling,247,37,7.0400070400070405,1.72
Away_from_surface somersault,37,38,9.460009460009461,1.65
Shaking,154,40,4.95000495000495,1.84
Circling,22,41,5.170005170005171,1.69
Shaking,22,41,5.170005170005171,1.69
Near_surface spinning,339,41,5.170005170005171,1.69
Circling,18,41,5.170005170005171,1.69
Away_from_surface somersault,69,42,7.59000759000759,1.52
Circling,244,42,7.59000759000759,1.52
Away_from_surface somersault,35,42,7.59000759000759,1.52
Circling,40,42,7.59000759000759,1.52
Away_from_surface somersault,36,42,7.59000759000759,1.52
Skating,31,43,4.2900042900042905,1.82
Circling,49,43,4.2900042900042905,1.82
Skating,28,43,4.2900042900042905,1.82
Shaking,71,43,4.2900042900042905,1.82
Away_from_surface somersault,38,44,8.360008360008361,2.13
Away_from_surface somersault,26,45,6.490006490006491,1.48
Skating,304,45,6.490006490006491,1.48
Away_from_surface somersault,68,45,6.490006490006491,1.48
Circling,49,46,6.71000671000671,1.82
Away_from_surface somersault,76,46,6.71000671000671,1.82
Circling,89,46,6.71000671000671,1.82
Away_from_surface somersault,136,46,6.71000671000671,1.82
Circling,80,46,6.71000671000671,1.82
Away_from_surface somersault,92,46,6.71000671000671,1.82
Circling,177,46,6.71000671000671,1.82
Away_from_surface somersault,53,46,6.71000671000671,1.82
Near_surface spinning,316,47,4.07000407000407,1.86
Shaking,113,47,4.07000407000407,1.86
Near_surface spinning,203,47,4.07000407000407,1.86
Shaking,187,47,4.07000407000407,1.86
Near_surface spinning,8,47,4.07000407000407,1.86
Away_from_surface somersault,24,49,7.26000726000726,1.88
Skating,22,49,7.26000726000726,1.88
Away_from_surface somersault,49,49,7.26000726000726,1.88
Skating,56,49,7.26000726000726,1.88
Away_from_surface somersault,63,49,7.26000726000726,1.88
Skating,152,49,7.26000726000726,1.88
Away_from_surface somersault,33,49,7.26000726000726,1.88
Away_from_surface somersault,29,50,8.03000803000803,1.5
Skating,63,50,8.03000803000803,1.5
Away_from_surface somersault,58,50,8.03000803000803,1.5
Skating,486,50,8.03000803000803,1.5
Away_from_surface somersault,27,50,8.03000803000803,1.5
Circling,40,51,7.9200079200079205,1.67
Away_from_surface somersault,131,51,7.9200079200079205,1.67
Circling,66,51,7.9200079200079205,1.67
Away_from_surface somersault,80,51,7.9200079200079205,1.67
Circling,234,51,7.9200079200079205,1.67
Shaking,82,53,4.4000044000044,1.58
Near_surface spinning,10,53,4.4000044000044,1.58
Shaking,121,53,4.4000044000044,1.58
Near_surface spinning,100,53,4.4000044000044,1.58
Shaking,93,53,4.4000044000044,1.58
Near_surface spinning,133,53,4.4000044000044,1.58
Shaking,46,53,4.4000044000044,1.58
Near_surface spinning,27,53,4.4000044000044,1.58
Shaking,124,53,4.4000044000044,1.58
Away_from_surface somersault,47,56,7.9200079200079205,2.1
Skating,167,56,7.9200079200079205,2.1
Away_from_surface somersault,51,56,7.9200079200079205,2.1
Skating,101,56,7.9200079200079205,2.1
Away_from_surface somersault,63,56,7.9200079200079205,2.1
Skating,111,56,7.9200079200079205,2.1
Away_from_surface somersault,70,56,7.9200079200079205,2.1
Away_from_surface somersault,34,57,8.14000814000814,1.69
Skating,119,57,8.14000814000814,1.69
Away_from_surface somersault,192,57,8.14000814000814,1.69
Skating,54,57,8.14000814000814,1.69
Away_from_surface somersault,202,57,8.14000814000814,1.69
Skating,92,57,8.14000814000814,1.69
Away_from_surface somersault,39,57,8.14000814000814,1.69
Away_from_surface somersault,27,58,7.59000759000759,1.58
Skating,93,58,7.59000759000759,1.58
Away_from_surface somersault,31,58,7.59000759000759,1.58
Skating,127,58,7.59000759000759,1.58
Away_from_surface somersault,105,58,7.59000759000759,1.58
Skating,36,58,7.59000759000759,1.58
Away_from_surface somersault,51,58,7.59000759000759,1.58
Skating,254,58,7.59000759000759,1.58
Away_from_surface somersault,32,59,7.59000759000759,1.7
Skating,734,59,7.59000759000759,1.7
Away_from_surface somersault,53,59,7.59000759000759,1.7
Circling,63,59,7.59000759000759,1.7
Away_from_surface somersault,41,60,7.9200079200079205,1.87
Away_from_surface somersault,68,61,7.700007700007701,1.65
Skating,178,61,7.700007700007701,1.65
Away_from_surface somersault,96,61,7.700007700007701,1.65
Skating,215,61,7.700007700007701,1.65
Away_from_surface somersault,85,61,7.700007700007701,1.65
Skating,76,61,7.700007700007701,1.65
Circling,44,62,7.9200079200079205,1.69
Away_from_surface somersault,60,62,7.9200079200079205,1.69
Circling,332,62,7.9200079200079205,1.69
Away_from_surface somersault,78,62,7.9200079200079205,1.69
Circling,337,63,7.26000726000726,1.6
Away_from_surface somersault,43,63,7.26000726000726,1.6
Circling,229,63,7.26000726000726,1.6
Away_from_surface somersault,34,63,7.26000726000726,1.6
Circling,164,63,7.26000726000726,1.6
Away_from_surface somersault,199,66,4.4000044000044,1.63
Circling,255,66,4.4000044000044,1.63
Away_from_surface somersault,164,66,4.4000044000044,1.63
Circling,40,66,4.4000044000044,1.63
Away_from_surface somersault,98,66,4.4000044000044,1.63
Away_from_surface somersault,165,67,7.4800074800074805,1.67
Circling,64,67,7.4800074800074805,1.67
Away_from_surface somersault,126,67,7.4800074800074805,1.67
Circling,60,67,7.4800074800074805,1.67
Away_from_surface somersault,33,67,7.4800074800074805,1.67
Circling,122,67,7.4800074800074805,1.67
Away_from_surface somersault,143,67,7.4800074800074805,1.67
Away_from_surface somersault,98,68,7.4800074800074805,1.56
Skating,93,68,7.4800074800074805,1.56
Away_from_surface somersault,98,68,7.4800074800074805,1.56
Skating,28,68,7.4800074800074805,1.56
