LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID3584,3584,0,1.0,6.438291712440084,6.578211320806673,0.0,0.10567840188741684,5,3.5965858347831143,1,,32071.852800953515,33152.0,24284.0,38750.0,1.07633138E8,2322.8742512817694,-0.04091112009882462,-1.177906613652175,0.008446195747091299,-0.0025984183256111838,3.6232496171079154,3.5948642288845702,1.4736308747361402,1.0078960946550553,40.637850812757016,23.275707181957966,0.9426160402390651,0.9907079646017702,3.651215943400467
ID3585,3585,0,1.0,6.4338920211830155,6.639594329319702,0.0,0.1268140822649002,6,3.543180244734512,1,,32008.202822951826,33098.0,24266.0,35533.0,1.04314733E8,2287.3966313184224,-0.041618533545515986,-1.2153410741741646,3.4720807005472445E-4,0.03454923234981892,3.5888041167230034,3.4414280703512574,0.0520692538877587,1.0428240960900583,39.43995078879901,27.212076612070597,0.6693031337475439,0.9593818984547461,4.333048027700357
ID4097,4097,0,1.0,6.338318399715916,4.9498460802923026,0.0,4.227136075496674,200,3.583443413717608,1,,31999.604560456046,33169.0,24984.0,36075.0,1.06654682E8,2467.3910949359747,-0.043817716578074956,-1.1886271979259124,-4.563037937609455E-6,0.0014616646949948808,3.6068540055931138,3.5790579315017124,-0.9198279846948922,1.0077663101920618,40.341400806828005,23.13623643991954,0.9470554567248104,0.9877055251073913,3.642648172406521
ID3586,3586,0,1.0,6.457007725118254,6.507862821881093,0.0,0.14794976264238358,7,3.5922997187545067,1,,32099.971070682972,33136.0,24774.0,38598.0,1.07631203E8,2342.342834326019,-0.04038312481494307,-1.1534166623417912,-0.0015535053047622302,0.011072431890829817,3.6194291922726944,3.590975058495833,0.9277381262965811,1.0079237904227552,40.541050810821,23.275545313921892,0.9403837934767634,0.987037855354249,3.6555469324985728
ID3587,3587,0,1.0,6.4610676027370415,6.507521851567596,0.0,0.16908544301986694,8,3.6005994347763073,1,,32098.626892252894,33143.0,24967.0,38479.0,1.08140274E8,2387.277885727334,-0.04008604106502246,-1.1229859821856536,4.454673707767519E-4,0.006122100289959376,3.6249024486410018,3.6029096363940605,1.1233400070905968,1.006104180916664,40.72860081457202,23.11746253274669,0.957698990892019,0.9894179894179898,3.622350054565708
ID3588,3588,0,1.0,6.426419900207525,6.472202649857494,0.0,0.1902211233973503,9,3.593371727050156,1,,32103.808116980006,33165.0,25285.0,37085.0,1.07579861E8,2382.453105746336,-0.0406105369529187,-1.1407907025114228,0.011798545232998685,-8.494587089259467E-4,3.6157606752120914,3.5909809409441573,1.5081391461279177,1.0069005474201762,40.565250811305006,23.24040781871782,0.9437925397631827,0.9902525476295964,3.6489394932391894
ID3589,3589,0,1.0,6.479113371382523,6.450557931093004,0.0,0.21135680377483368,10,3.600332000644043,1,,32095.00505050505,33127.0,25267.0,35825.0,1.08031787E8,2343.6476977202547,-0.04051014532370026,-1.156374563453295,-0.0038654690189707085,4.0582365231363554E-4,3.618138933576749,3.5970824109390107,1.5897830995233935,1.0058537782102805,40.72255081445102,23.174803176705506,0.9528240908797836,0.9892710170487948,3.631604682770308
