LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID4100,4100,0,1.0,5.865588510415555,5.403571578189337,0.0,5.7266364097595215,162,4.380458949091627,1,,2073.5343235648334,2052.0,1503.0,3013.0,1.0330348E7,187.76954292666196,0.005477158775722573,0.12030929911935291,-0.008364782816300596,0.024391638363344646,4.5195018377776535,4.175119742520873,-0.7121128394861876,1.0824843636817103,60.28220120564402,34.18842237635914,0.648098243951976,0.9307800093414292,4.40336321075963
ID3590,3590,0,1.0,5.709477762702109,5.213057411947326,0.0,4.171253681182861,118,4.52299748295078,1,,2073.189006024096,2049.0,1489.0,2923.0,1.101278E7,192.84988608005568,0.004488866981462577,0.09608179646649032,-0.009121733782671292,-0.0013684245377477324,4.590514274399372,4.4830252581671965,-0.8614001650939875,1.0239768928440347,64.269151285383,29.353993341049204,0.9372987677900237,0.9866258010587907,3.6615579250213752
ID2057,2057,0,1.0,5.728287870430364,5.208324281379403,0.0,0.17674803733825684,5,4.521932922603945,1,,2082.098870056497,2054.0,1498.0,2882.0,1.1055945E7,187.37071569350212,0.007487358799881068,0.16516524586440937,-0.005094360066729731,9.08699637761466E-4,4.574357959376041,4.494652650414196,-1.0772492997045489,1.0177333634345471,64.23890128477801,29.43629078610375,0.9316264270153928,0.9879047264607367,3.6726879686306924
ID3081,3081,0,1.0,5.689776608144739,5.235340336027965,0.0,2.8279685974121094,80,4.517885305580569,1,,2076.5807728557966,2055.0,1480.0,2901.0,1.1016261E7,189.964267715877,0.006454855659459933,0.14021650639808858,-0.002171664331109955,-0.002091971161218679,4.594754086937627,4.459250176797319,-1.0767381399990987,1.0303871513747695,64.12395128247901,29.217579794307227,0.9439340706622699,0.9891740550629958,3.648665926968509
ID2576,2576,0,1.0,5.566303259399627,5.166986105218967,0.0,1.5907323360443115,45,4.417669332257065,1,,2072.585798816568,2049.0,1468.0,2949.0,1.050801E7,184.58590156275153,0.0050183476982637145,0.11213230369901703,0.04897305162171494,-0.04848067741274523,4.564234195309125,4.2612570765530675,-0.8435122656262175,1.0711004084740965,61.310701226214015,36.70862231912685,0.5717550062998284,0.9419090993586762,4.688133217127556
ID3601,3601,0,1.0,5.691256583363164,5.371240489794236,0.0,4.206603288650513,119,4.42137314661558,1,,2069.835173501577,2050.0,1505.0,2876.0,1.0498204E7,188.31585229555975,0.0038781079993127224,0.08492152688584477,0.012437358880082416,0.03762947244283292,4.5128327351990585,4.285414694237695,-0.13518636870179898,1.0530679192534522,61.41355122827104,36.6773526714627,0.5736911001862888,0.9486029343052055,4.680215770792055
ID4113,4113,0,1.0,5.871232582626972,5.3897793033459145,0.0,5.761986017227173,163,4.380898555590711,1,,2071.511441188278,2052.0,1532.0,3022.0,1.032027E7,185.15569602444722,0.004675014052483753,0.10412081862745477,0.0556055545860183,0.03408249924737105,4.488019644494108,4.111819083121811,-0.7857657017476618,1.0914924887907944,60.29430120588604,34.623510699671435,0.6320390721488405,0.9314018691588788,4.458953759082184
