LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID5634,5634,0,0.9800000190734863,5.105350928246491,1.6924561572754366,0.0,0.06628543883562088,2,0.4685491787333824,1,,1854.6491228070176,1868.0,1299.0,2257.0,105715.0,154.8528669447308,0.01530820966627954,0.361159470650146,0.0018653405806643246,0.0050593065028228645,0.562149628972924,0.4321895239646065,-1.0135372894444044,1.300701654718869,0.6897000137940005,3.242899358825913,0.8241441059098217,0.95,3.9048409895610487
ID5638,5638,0,1.0,5.056555606121112,1.5992222382144452,0.0,0.09942815825343132,3,0.5636957071310956,1,,1824.5060240963855,1869.0,1303.0,2392.0,151434.0,250.01996864123726,-0.013969313763134544,-0.20676891184710292,-0.035529509342721186,-0.022261845117187207,0.6692242885364306,0.577519105171991,0.1901127660864106,1.1587916010798098,0.9982500199650001,5.010386599800605,0.49969697136016683,0.76036866359447,5.014776400447816
ID5642,5642,0,0.9900000095367432,5.245179023369012,1.5691610895171137,0.0,0.13257087767124176,4,0.5356682300073312,1,,1780.0897435897436,1784.0,1322.0,2310.0,138847.0,219.13656928348587,-0.022952262662925497,-0.3816513099016849,-0.024440425069939896,-0.02548337324848385,0.6314579764946827,0.5050920218780801,0.6162813694790362,1.250184024183825,0.9014500180290002,3.9758763316579873,0.7166148129063872,0.8816568047337279,4.187569630113776
ID5645,5645,0,1.0,5.091871845790505,1.7097008717978606,0.0,0.1657135970890522,5,0.6128018405127784,1,,1746.2448979591836,1722.0,1321.0,2389.0,171132.0,239.50171904875563,-0.04334646429453105,-0.660732255300889,-0.024972148941350646,0.009284765961870509,0.7124053717368316,0.5691196614267701,1.261760517007982,1.251767282034937,1.1797500235949998,4.837008461979037,0.633645221989579,0.859030837004405,4.45329894488791
ID5648,5648,0,1.0,5.05773267719688,1.8665665675467027,0.0,0.19885631650686264,6,0.7382372806418428,1,,1760.8591549295775,1779.0,1294.0,2407.0,250042.0,255.28211599205318,-0.03975822640533446,-0.5711900474070413,-0.036203962670390145,-0.01917461999335054,0.9201791547852469,0.6515488877043422,0.84432297403295,1.4122948747981026,1.712150034243001,5.934536107936212,0.6109112597153068,0.8601823708206687,4.535402834674833
ID5650,5650,0,1.0,4.9453226300983895,1.8905914167553783,0.0,0.23199903592467308,7,0.8103636367861368,1,,1772.1637426900584,1782.0,1238.0,2342.0,303040.0,287.2178453329016,-0.040771556551421,-0.5245147028574282,0.018748806934732413,-7.778459125407042E-4,0.8808732472282428,0.8048344531515069,0.001312596911744901,1.0944775584332769,2.063050041261001,6.7540013586599,0.5683257569275405,0.844059405940594,4.702255926654997
ID5652,5652,0,1.0,4.723960831553332,2.0293921771566668,0.0,0.2651417553424835,8,0.8091745479038045,1,,1782.5906432748538,1756.0,1242.0,2564.0,304823.0,301.3332271660225,-0.029048578343113553,-0.3539663488541029,-0.038849925976119845,-0.03811316096909226,0.9786573513069031,0.7474808528303897,-0.10442236538688858,1.3092741407370465,2.0570000411400007,7.946672757091511,0.4093299345302778,0.7674943566591422,5.540745201425632
