LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID5124,5124,0,1.0,5.538602468784548,4.887260876224458,0.0,6.429687567055225,194,4.302612419490326,1,,1834.1890205864006,1912.0,636.0,2828.0,8820615.0,236.79359925501814,-0.043183300399118524,-0.69918356475181,-6.021718417041479E-4,0.0023249634188895574,4.341314032442959,4.278824760571776,-1.229666232612315,1.014604307343223,58.158651163173026,28.21306592323498,0.9181711072359503,0.9845350266284315,3.6995007595224854
ID4613,4613,0,1.0,5.467512477035373,4.977974514928124,0.0,2.850273869931698,86,4.3131177876681015,1,,1837.3569504868449,1914.0,599.0,3193.0,8868922.0,238.8057244955975,-0.04307097740381878,-0.6926020933521895,0.008042274535931733,0.011723115319025028,4.354308248763783,4.293707676250031,-1.0160530969000678,1.0141138095751034,58.44300116886001,27.883154269315586,0.944623119435188,0.9870236027383262,3.647334937195912
ID4617,4617,0,1.0,5.490250470530103,4.958027550272988,0.0,2.8834165893495083,87,4.305073420477471,1,,1836.1750155892746,1913.0,589.0,2897.0,8833838.0,235.80145310903308,-0.04406218345539171,-0.7178504289352706,-0.004110745121892402,0.012746270968389982,4.3434025436032595,4.290298284270866,-0.7450926752266865,1.0123777546020716,58.22520116450401,28.04370070012975,0.9303582538016373,0.9848546868604173,3.6751902403999726
ID5130,5130,0,1.0,5.5297111201601,4.8912189181456265,0.0,6.462830286473036,195,4.301940993063783,1,,1834.622527586925,1914.0,704.0,2755.0,8811692.0,239.29085701906584,-0.043942761604679,-0.7047808019243725,0.0024243652941851645,-0.0027798031278990706,4.33244130681245,4.277961755201364,-1.0938442352981315,1.0127349318971464,58.14050116281003,27.979085141667888,0.9333007510572829,0.987971625372674,3.6693921231315167
ID4620,4620,0,1.0,5.463844129482514,4.971435947150253,0.0,2.9165593087673187,88,4.304178673835681,1,,1835.9212058212058,1914.0,568.0,3058.0,8830781.0,240.47675196146886,-0.04420705228615205,-0.7062178199757212,0.0022190580475721852,0.010650086740373457,4.346742213510999,4.282076578056646,2.1654443594459676,1.0151014663739855,58.201001164020006,28.063136418929687,0.9286838743307269,0.9852519459238016,3.678501858086262
ID5136,5136,0,1.0,5.540975724509515,4.877003177028634,0.0,6.495973005890846,196,4.297462136052401,1,,1833.8130081300812,1914.0,664.0,2803.0,8796801.0,242.1763126379141,-0.04367638576728039,-0.6916640379098565,0.006401394907282962,0.0026527259395810036,4.333864452979801,4.2760363460483495,-1.4320853304936025,1.013523764124431,58.019501160390035,28.034615810897915,0.927672402342774,0.9855102250539518,3.6805067080360607
ID4626,4626,0,1.0,5.488640183264081,4.976946766130721,0.0,2.949702028185129,89,4.312894535627905,1,,1836.2555923777961,1914.0,564.0,3004.0,8865442.0,239.65484840494156,-0.043553846732401535,-0.6978191786115769,-0.009386805404965858,0.00829260284002645,4.360005656771298,4.292822784501742,-0.7993962164138815,1.01565004558588,58.43695116873899,28.014458049174245,0.9356921001949025,0.9839054701028824,3.6647001890526454
