Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description,,,,
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,0,0025-0625-0749,736,612,26,26,25,,1,F,179,Forward,,,remove early timepoints,B
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,1,0025-0582-0838,826,572,24,20,25,,1,B,64,Backward,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,2,0025-0414-0676,664,402,24,24,25,,1,N,36,"motile, but cannot tell",,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,3,0025-0507-0672,654,494,36,26,25,,1,I,0,"immotile, brownian",,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,4,0025-0607-0553,540,594,26,26,25,,1,A,0,"immotile, attached",,,,N
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,5,0025-0536-0477,466,526,22,20,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,6,0025-0623-0300,278,606,44,34,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,7,0025-0546-0275,264,532,22,28,25,,1,,,,,,,N
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,8,0025-0768-0469,460,762,18,12,25,,1,,,,,,,B
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,9,0025-0850-0646,632,832,28,36,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,10,0025-0986-0649,634,972,30,28,25,,1,,,,,,,B
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,11,0025-0948-0748,738,936,20,24,25,,1,,,,,,,B
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,12,0025-0652-1086,1076,642,20,20,25,,1,,,,,,,B
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,13,0025-0449-1109,1096,434,26,30,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,14,0025-0812-0973,962,800,22,24,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,15,0025-0899-1066,1054,884,24,30,25,,1,,,,,,,B
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,16,0025-0637-1117,1106,618,22,38,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,17,0025-0495-1017,1006,482,22,26,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,18,0025-0522-0983,974,508,18,28,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,19,0025-0449-0942,926,432,32,34,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,20,0025-0465-1290,1278,448,24,34,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,21,0025-0916-0905,898,902,14,28,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,22,0025-1184-0605,592,1170,26,28,25,,1,,,,,,,N
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,23,0025-0964-1079,1070,948,18,32,25,,1,,,,,,,N
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,24,0025-0407-0408,394,392,28,30,25,,1,,,,,,,F
ROI__Seq01_0.00s.tif.csv,Seq01,0.00s,25,0025-0591-0498,482,574,32,34,25,,1,,,,,,,B
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,0,0025-0548-0588,576,536,24,24,25,B,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,1,0025-0608-0507,498,594,18,28,25,F,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,2,0025-0683-0641,628,666,26,34,25,F,1,,,,,,,
