Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,0,0002-0678-0541,526,666,30,24,2,F,1,F,77,Forward
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,1,0002-0786-0455,450,778,10,16,2,F,1,B,27,Backward
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,2,0002-0946-0376,366,938,20,16,2,F,1,N,6,"motile, but cannot tell"
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,3,0005-0601-0700,694,592,12,18,5,"F, B",1,I,0,"immotile, brownian"
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,4,0005-0565-0736,730,558,12,14,5,F,1,A,0,"immotile, attached"
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,5,0007-0393-0351,340,384,22,18,7,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,6,0007-0467-0438,434,458,8,18,7,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,7,0007-0567-0775,766,558,18,18,7,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,8,0007-0871-0563,550,864,26,14,7,B,1,,2.851851852,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,9,0010-0959-0969,960,950,18,18,10,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,10,0035-0594-0565,552,578,26,32,35,"F, B",1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,11,0035-0647-1047,1038,638,18,18,35,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,12,0035-0701-1124,1120,692,8,18,35,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,13,0036-0791-1092,1082,784,20,14,36,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,14,0038-0192-0602,596,182,12,20,38,F,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,15,0038-0403-0561,546,392,30,22,38,B,1,,,
ROI_20240718_162942_122_Seq00_0.00s.tif.csv,Seq00,0.00s,16,0042-0735-0785,778,724,14,22,42,"F, B",1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,0,0002-0385-0840,826,376,28,18,2,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,1,0002-0479-1060,1054,470,12,18,2,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,2,0002-0691-0230,224,678,12,26,2,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,3,0002-0919-0731,724,908,14,22,2,B,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,4,0002-0939-0986,976,932,20,14,2,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,5,0002-1013-0903,890,1004,26,18,2,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,6,0021-0689-0989,980,678,18,22,21,B,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,7,0021-0823-0734,722,812,24,22,21,B,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,8,0039-0589-0710,704,578,12,22,39,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,9,0039-0693-0920,908,684,24,18,39,B,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,10,0043-0574-1112,1106,562,12,24,43,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,11,0046-0868-0376,360,856,32,24,46,F,1,,,
ROI_20240718_162942_122_Seq00_14.25s.tif.csv,Seq00,14.25s,12,0050-1005-0753,746,996,14,18,50,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,0,0003-0687-0382,370,670,24,34,3,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,1,0003-0741-0375,364,734,22,14,3,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,2,0003-0456-0456,448,448,16,16,3,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,3,0003-0429-0245,236,420,18,18,3,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,4,0003-0764-0670,662,754,16,20,3,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,5,0004-0903-0622,608,888,28,30,4,B,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,6,0018-0258-0794,788,246,12,24,18,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,7,0018-0322-0936,924,310,24,24,18,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,8,0033-0601-1019,1008,578,22,46,33,B,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,9,0033-0782-0767,758,770,18,24,33,F,1,,,
ROI_20240718_162942_122_Seq00_28.50s.tif.csv,Seq00,28.50s,10,0039-0467-0721,708,448,26,38,39,F,1,,,
