Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,0,0355-0418,398,338,40,34,0,F,1,F,34,Forward
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,1,0399-0540,522,380,36,38,0,B,1,B,77,Backward
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,2,0429-0445,434,416,22,26,0,A,1,N,6,"motile, but cannot tell"
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,3,0432-0486,474,422,24,20,0,B,1,I,5,"immotile, brownian"
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,4,0465-0435,424,458,22,14,0,F,1,A,81,"immotile, attached"
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,5,0472-0376,360,460,32,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,6,0518-0440,426,506,28,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,7,0541-0371,362,530,18,22,0,A,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,8,0539-0403,396,532,14,14,0,B,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,9,0510-0492,484,498,16,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,10,0490-0534,522,480,24,20,0,B,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,11,0549-0544,538,542,12,14,0,I,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,12,0395-0734,720,382,28,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,13,0476-0870,860,464,20,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,14,0506-0857,846,494,22,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,15,0490-0697,684,478,26,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,16,0617-0581,572,610,18,14,0,B,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,17,0664-0516,504,652,24,24,0,F,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,18,0679-0571,560,668,22,22,0,F,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,19,0729-0429,418,720,22,18,0,F,1,,,
ROI_20240703_191751_706_Seq00_0.00s.tif.csv,Seq00,0.00s,20,0766-0408,400,754,16,24,0,A,1,,,
