Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",notes,weight,category,sum,description
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,0,0001-0191-0147,136,178,22,26,1,B,,1,F,36,Forward
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,1,0001-0144-0419,410,136,18,16,1,F,,1,B,65,Backward
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,2,0001-0404-0208,204,394,8,20,1,B,,1,N,3,"motile, but cannot tell"
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,3,0001-0266-0665,656,260,18,12,1,B,,1,I,0,"immotile, brownian"
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,4,0001-0424-0451,440,412,22,24,1,B,(attached later),1,A,1,"immotile, attached"
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,5,0001-0573-0394,380,558,28,30,1,F,,1,,,
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,6,0001-0712-0422,406,696,32,32,1,B,,1,,,
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,7,0001-0768-0216,200,756,32,24,1,F,,1,,,
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,8,0002-0270-0136,124,260,24,20,2,B,,1,,,
ROI_20240724_143052_376_Seq00_0.00s.tif.csv,Seq00,0.00s,9,0005-0355-1163,1152,342,22,26,5,B,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,0,0001-0323-0037,28,312,18,22,1,B,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,1,0001-0380-0522,510,368,24,24,1,B,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,2,0001-0099-0626,618,88,16,22,1,B,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,3,0001-0138-1139,1130,126,18,24,1,F,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,4,0001-0249-1110,1104,240,12,18,1,B,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,5,0002-0843-0750,738,828,24,30,2,F,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,6,0008-1015-1165,1156,1002,18,26,8,F,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,7,0003-0038-0999,988,20,22,36,3,B,,1,,,
ROI_20240724_143052_376_Seq00_14.25s.tif.csv,Seq00,14.25s,8,0011-1102-0274,262,1092,24,20,11,B,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,0,0001-0288-0176,162,270,28,36,1,B,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,1,0001-0111-0420,410,100,20,22,1,B,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,2,0001-0312-0495,484,300,22,24,1,B,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,3,0001-0438-0049,42,426,14,24,1,N,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,4,0001-0505-0049,36,494,26,22,1,N,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,5,0001-0114-0648,634,98,28,32,1,B,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,6,0001-0453-1086,1076,442,20,22,1,F,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,7,0001-0820-0937,926,808,22,24,1,/,abnormal,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,8,0001-0943-0683,674,932,18,22,1,F,,1,,,
ROI_20240724_143052_376_Seq00_28.50s.tif.csv,Seq00,28.50s,9,0001-1079-0969,954,1062,30,34,1,F,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,0,0001-0368-0685,670,354,30,28,1,F,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,1,0001-0480-0809,798,464,22,32,1,F,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,2,0001-0716-0531,516,702,30,28,1,B,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,3,0004-0659-0617,602,646,30,26,4,B,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,4,0001-0788-0873,858,778,30,20,1,B,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,5,0001-0937-0837,822,924,30,26,1,F,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,6,0001-1094-0562,546,1076,32,36,1,B,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,7,0008-0086-0774,760,70,28,32,8,F,,1,,,
ROI_20240724_143052_376_Seq00_42.75s.tif.csv,Seq00,42.75s,8,0009-0587-0033,18,572,30,30,9,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,0,0001-0213-0240,226,190,28,46,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,1,0001-0218-0494,486,208,16,20,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,2,0001-0160-0690,676,146,28,28,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,3,0001-0450-0785,776,438,18,24,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,4,0001-0688-0739,726,674,26,28,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,5,0001-1028-0873,860,1020,26,16,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,6,0001-0623-0194,182,612,24,22,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,7,0001-0932-0376,368,920,16,24,1,B,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,8,0001-0829-0955,944,818,22,22,1,F,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,9,0001-1036-1036,1022,1018,28,36,1,F,,1,,,
ROI_20240724_143052_376_Seq00_57.00s.tif.csv,Seq00,57.00s,10,0001-1130-0923,912,1118,22,24,1,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,0,0001-0097-0240,224,88,32,18,1,B,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,1,0003-0282-0319,308,270,22,24,3,B,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,2,0004-0016-0501,492,8,18,16,4,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,3,0006-0118-0466,458,110,16,16,6,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,4,0003-0449-0572,560,442,24,14,3,B,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,5,0006-0483-0081,66,470,30,26,6,B,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,6,0008-0572-0214,206,562,16,20,8,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,7,0008-0652-0063,54,634,18,36,8,B,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,8,0008-0756-0169,158,744,22,24,8,B,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,9,0004-0669-0452,432,652,40,34,4,N,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,10,0005-0768-0674,662,756,24,24,5,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,11,0005-0650-0793,782,640,22,20,5,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,12,0002-0573-1111,1102,562,18,22,2,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,13,0002-0489-1165,1152,474,26,30,2,F,,1,,,
ROI_20240724_143052_376_Seq01_0.00s.tif.csv,Seq01,0.00s,14,0002-0779-1096,1082,770,28,18,2,B,,1,,,
