tif_name,frame_index,section_index,capsule_index_map,capsule_location_map,capsule_radius
G16_0001.nd2_8bit.tif,0,11,0,"[(128, 306)]",16
G16_0001.nd2_8bit.tif,0,11,1,"[(152, 60)]",22
G16_0001.nd2_8bit.tif,0,11,2,"[(192, 108)]",16
G16_0001.nd2_8bit.tif,0,11,3,"[(270, 214)]",27
G16_0001.nd2_8bit.tif,0,11,4,"[(382, 104)]",25
G16_0001.nd2_8bit.tif,0,11,5,"[(418, 42)]",22
G16_0001.nd2_8bit.tif,0,11,6,"[(472, 280)]",20
G16_0001.nd2_8bit.tif,0,11,7,"[(476, 598)]",24
G16_0001.nd2_8bit.tif,0,11,8,"[(564, 234)]",26
G16_0001.nd2_8bit.tif,0,11,9,"[(586, 634)]",20
G16_0001.nd2_8bit.tif,0,11,10,"[(634, 108)]",25
G16_0001.nd2_8bit.tif,0,11,11,"[(640, 214)]",30
G16_0001.nd2_8bit.tif,0,11,12,"[(712, 858)]",19
G16_0001.nd2_8bit.tif,0,11,13,"[(730, 396)]",30
G16_0001.nd2_8bit.tif,0,11,14,"[(872, 720)]",26
G16_0001.nd2_8bit.tif,0,11,15,"[(896, 852)]",33
G16_0001.nd2_8bit.tif,0,11,16,"[(908, 958)]",28
G16_0001.nd2_8bit.tif,0,11,17,"[(960, 918)]",27
G16_0002.nd2_8bit.tif,0,11,0,"[(74, 480)]",20
G16_0002.nd2_8bit.tif,0,11,1,"[(82, 540)]",29
G16_0002.nd2_8bit.tif,0,11,2,"[(306, 506)]",26
G16_0002.nd2_8bit.tif,0,11,3,"[(408, 846)]",31
G16_0002.nd2_8bit.tif,0,11,4,"[(470, 848)]",33
G16_0002.nd2_8bit.tif,0,11,5,"[(476, 552)]",16
G16_0002.nd2_8bit.tif,0,11,6,"[(492, 948)]",28
G16_0002.nd2_8bit.tif,0,11,7,"[(496, 786)]",24
G16_0002.nd2_8bit.tif,0,11,8,"[(500, 350)]",22
G16_0002.nd2_8bit.tif,0,11,9,"[(522, 718)]",27
G16_0002.nd2_8bit.tif,0,11,10,"[(546, 818)]",29
G16_0002.nd2_8bit.tif,0,11,11,"[(578, 24)]",22
G16_0002.nd2_8bit.tif,0,11,12,"[(584, 148)]",22
G16_0002.nd2_8bit.tif,0,11,13,"[(734, 424)]",31
G16_0002.nd2_8bit.tif,0,11,14,"[(740, 494)]",33
G16_0002.nd2_8bit.tif,0,11,15,"[(786, 864)]",20
G16_0002.nd2_8bit.tif,0,11,16,"[(880, 514)]",19
G16_0002.nd2_8bit.tif,0,11,17,"[(916, 416)]",20
G16_0002.nd2_8bit.tif,0,11,18,"[(978, 66)]",33
G16_0003.nd2_8bit.tif,0,11,0,"[(226, 274)]",22
G16_0003.nd2_8bit.tif,0,11,1,"[(238, 876)]",21
G16_0003.nd2_8bit.tif,0,11,2,"[(246, 794)]",27
G16_0003.nd2_8bit.tif,0,11,3,"[(356, 500)]",31
G16_0003.nd2_8bit.tif,0,11,4,"[(356, 192)]",25
G16_0003.nd2_8bit.tif,0,11,5,"[(428, 202)]",24
G16_0003.nd2_8bit.tif,0,11,6,"[(460, 626)]",26
G16_0003.nd2_8bit.tif,0,11,7,"[(474, 114)]",29
G16_0003.nd2_8bit.tif,0,11,8,"[(502, 172)]",30
G16_0003.nd2_8bit.tif,0,11,9,"[(524, 418)]",26
G16_0003.nd2_8bit.tif,0,11,10,"[(704, 244)]",33
G16_0003.nd2_8bit.tif,0,11,11,"[(710, 402)]",26
G16_0003.nd2_8bit.tif,0,11,12,"[(716, 546)]",25
G16_0003.nd2_8bit.tif,0,11,13,"[(724, 656)]",26
G16_0003.nd2_8bit.tif,0,11,14,"[(798, 268)]",18
G16_0003.nd2_8bit.tif,0,11,15,"[(828, 406)]",20
G16_0003.nd2_8bit.tif,0,11,16,"[(868, 572)]",28
G16_0003.nd2_8bit.tif,0,11,17,"[(930, 320)]",24
G16_0003.nd2_8bit.tif,0,11,18,"[(956, 632)]",18
G16_0003.nd2_8bit.tif,0,11,19,"[(990, 48)]",30
G16_0003.nd2_8bit.tif,0,11,20,"[(992, 370)]",18
G16_0003.nd2_8bit.tif,0,11,21,"[(1002, 544)]",16
G16_0004.nd2_8bit.tif,0,11,0,"[(330, 328)]",27
G16_0004.nd2_8bit.tif,0,11,1,"[(844, 138)]",25
G16_0005.nd2_8bit.tif,0,11,0,"[(154, 144)]",27
G16_0005.nd2_8bit.tif,0,11,1,"[(344, 578)]",25
G16_0005.nd2_8bit.tif,0,11,2,"[(488, 572)]",27
G16_0005.nd2_8bit.tif,0,11,3,"[(554, 176)]",22
G16_0005.nd2_8bit.tif,0,11,4,"[(914, 510)]",27
G16_0005.nd2_8bit.tif,0,11,5,"[(962, 956)]",23
G16_0006.nd2_8bit.tif,0,11,0,"[(82, 248)]",28
G16_0006.nd2_8bit.tif,0,11,1,"[(140, 916)]",25
G16_0006.nd2_8bit.tif,0,11,2,"[(166, 686)]",24
G16_0006.nd2_8bit.tif,0,11,3,"[(466, 642)]",18
G16_0006.nd2_8bit.tif,0,11,4,"[(470, 556)]",22
G16_0006.nd2_8bit.tif,0,11,5,"[(518, 454)]",27
G16_0006.nd2_8bit.tif,0,11,6,"[(520, 366)]",25
G16_0006.nd2_8bit.tif,0,11,7,"[(580, 302)]",24
G16_0006.nd2_8bit.tif,0,11,8,"[(596, 234)]",21
G16_0006.nd2_8bit.tif,0,11,9,"[(722, 730)]",22
G16_0006.nd2_8bit.tif,0,11,10,"[(824, 66)]",27
G16_0006.nd2_8bit.tif,0,11,11,"[(852, 194)]",24
G16_0006.nd2_8bit.tif,0,11,12,"[(854, 354)]",26
G16_0006.nd2_8bit.tif,0,11,13,"[(984, 888)]",25
G16_0007.nd2_8bit.tif,0,11,0,"[(98, 268)]",27
G16_0007.nd2_8bit.tif,0,11,1,"[(128, 886)]",25
G16_0007.nd2_8bit.tif,0,11,2,"[(168, 686)]",24
G16_0007.nd2_8bit.tif,0,11,3,"[(414, 406)]",26
G16_0007.nd2_8bit.tif,0,11,4,"[(464, 542)]",22
G16_0007.nd2_8bit.tif,0,11,5,"[(480, 628)]",22
G16_0007.nd2_8bit.tif,0,11,6,"[(510, 420)]",26
G16_0007.nd2_8bit.tif,0,11,7,"[(514, 334)]",26
G16_0007.nd2_8bit.tif,0,11,8,"[(578, 302)]",24
G16_0007.nd2_8bit.tif,0,11,9,"[(596, 232)]",21
G16_0007.nd2_8bit.tif,0,11,10,"[(738, 764)]",23
G16_0007.nd2_8bit.tif,0,11,11,"[(846, 320)]",26
G16_0007.nd2_8bit.tif,0,11,12,"[(856, 208)]",24
G16_0007.nd2_8bit.tif,0,11,13,"[(910, 270)]",26
G16_0007.nd2_8bit.tif,0,11,14,"[(952, 858)]",26
G16_0008.nd2_8bit.tif,0,11,0,"[(168, 684)]",24
G16_0008.nd2_8bit.tif,0,11,1,"[(400, 372)]",28
G16_0008.nd2_8bit.tif,0,11,2,"[(466, 538)]",23
G16_0008.nd2_8bit.tif,0,11,3,"[(482, 416)]",26
G16_0008.nd2_8bit.tif,0,11,4,"[(496, 624)]",24
G16_0008.nd2_8bit.tif,0,11,5,"[(578, 304)]",24
G16_0008.nd2_8bit.tif,0,11,6,"[(596, 232)]",22
G16_0008.nd2_8bit.tif,0,11,7,"[(852, 176)]",23
G16_0008.nd2_8bit.tif,0,11,8,"[(862, 320)]",26
