LABEL,TRACK_INDEX,TRACK_ID,DIVISION_TIME_MEAN,DIVISION_TIME_STD,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Mean cell division time,Std cell division time,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,Mean div. time,Std div. time,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,(sec),(sec),,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_1282,0,0,NaN,NaN,6,0,0,0,0,0,0.20045999437570572,0.0,0.20045999437570572,12.232158677303396,29.77798392273323,11.014790013820493,0.0,61.656425259717864,68.89157229824663,55.81875451661681,59.32666378575377,5.445796579399931,0.9200000067551931,12.359646660789162,12.232158677303396,0.989685143355253,61.02044807193631,0.9896851433552528,4.644997483851551
Track_1283,1,1,NaN,NaN,17,0,0,0,0,0,0.6414719820022583,0.0,0.6414719820022583,4.073142991118552,50.89731165934883,14.736559337531034,0.0,10.084841098116371,42.62917941680459,0.22408217533054953,2.9283501313519604,15.12689686168577,0.9941176491625169,6.469143007386538,4.073142991118552,0.6296263641826735,6.3496818339670105,0.6296263641826735,33.76104691230795
Track_1284,2,2,NaN,NaN,20,1,0,0,0,2,0.841931976377964,0.0,0.841931976377964,14.10327988666079,5.299212441576396,40.783078539719455,0.0,39.66433242528975,56.904228766811435,11.738442840047206,43.31273205400218,11.713934128521133,0.9785000085830688,31.61009707244378,14.234961490438225,0.4461637638865518,16.751091872450132,0.4223212858555444,9.334938227976624
Track_1285,3,3,NaN,NaN,43,0,0,0,0,0,1.683863952755928,0.0,1.683863952755928,3.5853755910250507,49.73616110224356,44.09234342794494,0.0,4.27146826335583,28.130664266036078,0.0714139194969451,2.2540810988393276,5.845381984227964,0.9974418615185937,7.192571434005848,4.398565047187426,0.49848313971185726,2.129254911097169,0.4984831397118573,36.60559008981548
Track_1286,4,4,NaN,NaN,2,0,0,0,0,0,0.040091998875141144,0.0,0.040091998875141144,1.638812226633887,56.22527834000259,50.009020107907844,0.0,40.87629134525454,40.87629134525454,40.87629134525454,40.87629134525454,NaN,0.6200000047683716,1.638812226633887,1.638812226633887,1.0,40.87629134525454,1.0,NaN
Track_1287,5,5,NaN,NaN,15,0,0,0,0,0,0.561287984251976,0.0,0.561287984251976,20.34734045344911,20.071404574225934,46.676359220167235,0.0,55.51459199824746,75.17984489618657,1.2272907067213568,60.744363887108385,18.2616725674424,0.9606666684150695,31.1596734392672,20.59650569506992,0.6530023651598202,36.251159875738026,0.6530023651598202,9.687248958742797
Track_1288,6,6,NaN,NaN,43,1,0,0,0,1,1.7239559516310692,0.040091998875141144,1.7640479505062103,8.098495160944653,8.331004477361931,27.132182887720763,0.0,17.60101939321002,67.081355432881,0.14429061779098976,6.7245869744227935,22.18459038600499,0.9820930264716925,30.20683741656094,8.911471221672587,0.26810139205452344,4.697623018315813,0.26689494019465854,20.818290532162273
