exposure_time,Field,Well,video_index,ROI_index,bug_index,frame,escape_type,notes,last_switch,on_hole_start,on_hole_end,outside_frame,outside_I,outside_x,outside_y,outside_major,outside_minor,outside_angle,inside_frame,inside_I,inside_x,inside_y,inside_major,inside_minor,inside_angle,hole_I,hole_x,hole_y,capsule_inner_I,capsule_inner_x,capsule_inner_y,capsule_inner_d
80,I20_entry,I20,1,1,1,148,b,,142,148,150,/,,,,,,,,,,,,,,,,,,,,
80,I20_entry,I20,1,4,m,725,b,,722,731,733,734,15288.428,122.647,68.113,29.961,15.001,12.875,730,14985.156,79.824,136.824,20.014,11.006,75.621,15110.905,102.782,93.106,14663.533,76.68,125.763,73.101
80,I20_entry,I20,2,1,m,225,f_s,,187,225,226,227,15114.492,76.831,9.349,22.641,9.954,59.169,223,13844.211,45.584,92.034,21.71,8.914,135.015,14585.942,41.448,60.604,14081.528,67.927,83.88,74.027
80,I20_entry,I20,2,1,3,273,b,,263,272,273,274,15011.98,21.017,19.025,32.208,11.939,129.121,271,14801.383,70.328,68.984,23.594,11.117,109.782,13693.95,44.909,59.137,14284.284,69.021,83.865,70.032
80,I20_entry,I20,2,2,m,56,b,b_corrected,52,55,55,56,15210.412,172.004,70.018,23.487,8.023,63.933,55,14722.103,108.504,108.012,27.526,11.194,173.374,12535.639,142.431,106.563,14522.087,105.575,97.653,71.088
80,I20_entry,I20,2,3,m,469,b,,449,469,472,473,15220.741,25.812,7.582,20.18,9.275,127.961,467,14417.816,83.067,79.913,18.113,8.014,135,13689.927,46.146,40.946,14381.077,71.153,74.934,74.027
80,I20_entry,I20,4,4,m,480,f_c,,473,479,487,488,15556.064,172.176,96.015,27.812,14.284,179.634,479,14911.487,103.991,98.949,20.48,9.698,167.842,14519.089,132.972,106.054,14580.806,98.507,123.61,71.088
80,I20_entry,I20,5,4,3,53,b,,51,53,54,/,,,,,,,,,,,,,,,,,,,,
80,I20_entry,I20,6,3,m,684,b,[504] failed backward escape,681,683,687,689,14909.133,8.201,88.147,25.738,11.873,124.953,682,14532.247,88.944,90.028,22.123,9.784,30.674,15815.165,44.273,109.533,14333.656,71.473,77.448,75.027
80,I20_entry,I20,6,8,1,395,b,,378,394,396,396,15930.655,161.928,82.999,13.364,8.003,0,392,15257.846,100.013,62.983,8.137,8.137,0,12644.013,147.993,77.962,14341.38,109.408,75.546,75.027
80,I20_entry,I20,7,1,4,469,b,switch before fully escape; final escape [475],452,467,469,476,14423.99,62.013,75.975,15.448,8.077,150.972,466,13738.532,113.513,125.944,17.659,9.085,116.981,15799.35,85.03,96.124,14432.956,113.73,121.675,69.053
80,I20_entry,I20,8,1,5,176,b,,152,176,177,/,,,,,,,,,,,,,,,,,,,,
80,I20_entry,I20,8,1,6,654,b,,651,653,654,656,15119.73,25.495,141.004,25.67,11.21,10.827,652,15000.348,134.991,112.994,13.878,6.055,1.536,12672.351,91.948,131.057,14268.762,129.322,139.342,71.336
80,I20_entry,I20,8,7,2,192,b,,186,187,192,/,,,,,,,,,,,,,,,,,,,,
80,I20_entry,I20,10,8,2,162,f_c,,148,160,163,164,15250.89,19.531,124.992,29.761,10.867,19.903,160,14066.125,72.998,94.046,12.428,8.196,90,14299.975,72.963,104.865,14308.838,103.012,92.094,78.111
80,I20_entry,I20,11,9,1,188,f_c,,164,186,188,/,,,,,,,,,,,,,,,,,,,,
80,20240313_205214_702,I21,1,4,1,294,b,,291,293,295,296,21127.555,65.321,15.073,19.978,7.011,117.742,293,22997.707,83.47,99.017,26.224,8.788,81.848,19412.846,88.036,59.544,22243.181,84.561,100.535,71.088
80,20240313_205214_702,I21,2,2,m,367,f_c,,321,365,367,/,,,,,,,,,,,,,,,,,,,,
80,20240313_205214_702,I21,7,7,1,540,f_c,,479,/,,/,,,,,,,,,,,,,,,,,,,,
80,20240313_205214_702,I21,11,2,4,607,b,,605,606,608,609,22501.802,56.535,61.016,36.028,13.005,114.237,606,22058.478,99.041,130.946,22.362,7.858,139.636,20433.362,86.839,110.642,21323.859,118.917,108.322,75.027
80,20240313_210710_628,J16,0,3,1,651,f_s,,630,650,652,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,1,1,m,225,b,,219,225,226,227,20138.797,188.486,141.987,25.243,11.198,10.034,224,19449.389,128.988,104.009,14.087,8.135,174.502,19894.812,149.821,142.012,19546.148,121.594,130.482,66.956
80,20240313_210710_628,J16,1,1,m,352,b,,/,352,353,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,1,1,2,519,f_s,,496,517,530,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,2,6,1,545,b,,540,545,/,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,3,1,3,558,b,,/,557,558,559,20427.593,92.505,184.001,24.03,13.14,93.467,556,20533.097,89.024,81.014,11.799,7.769,149.912,19035.565,86.501,125.537,19217.649,84.65,92.607,66.956
